Luang Pu Si Siriyano, Wat Pa Si Mongkol
Phra Khru Siripawanapithan (Supong Thutthammo), Wat Phu Din Daeng
Phra Mongkol Kittithada (Amon Khemajitto), Wat Pa Wiwek (Dhammachan)
Phra Phawanayanwimol Thera (Tiang Chotidhammo), Wat Aranyawasi (Old Noi)
Phrakhru Banpot Worakit (Chan Inthaweero), Wat Bueng Khao Luang
Phrakhru Siriwirakorn (Boonmee Ti Kkhaweero), Wat Pa Ban Dong
Luang Pu Som Thirajitto, Wat Tham Saeng Phet (bottom)
Phrarajphawanavikrom (Liam Thitadhammo), Wat Nong Pa Pong
Phrakhru Photisarn Khunwat (Bunchu Thitakuno), Wat Pa Phothiyan
Phrakhru Pattanakijwisan (Khamnissoko), Wat Thai Phatthana
Luang Por Khampun Yanweero, Wat Nai Rai
Phrakhru Wachirathamrangsi (Tul Chatta Sallo), Wat Si Yaek Saeng Phet (top)
Luang Por Saweng Chanthasaro, Wat Kham Mahi
Phrakhru Suwan Phothikhet (Khun Akkhadhammo), Wat Pa Pho Suwan
Phrakru Panyatham Sophit (Sombai Panyatharo), Wat Pa Thamwiwekaram
Phrakru Phawanasarakhun (Damrong Sujitto), Wat Pleum Phatthana
Luang Por Phaithun Khantiko, Wat Suphatthamongkol
Reverend Father Bunnam Panyawaro, Pa Non Sok Suea Monastery
Reverend Father Rueangrit Chanthasaro, Wat Pa Phrom Prathan
Phrakhru Udom Wirawat (Khun Tikkhaweero), Wat Udomwaree
Phrarajasumethachan (Luangphor Robert Sumetho), Wat Pa Rattanawan
Phrakhru Nikothathammaphon (Anek Yastinno), Wat Pa Sai Ngam
Luang Por Nu Daeng Thammatheepo, Pa Non Sawan Monastery Residence
Phrakhru Opasawutthikorn (Sophon Opaso), Wat Bueng Latthi Day
Phrakhru Phatthamsiri (Damrong Siriphattho), Wat Pa Nam Kham Keng
Phra Athikan Banjong Kamlo, Wat Pa Kho Charoentham
Luang Por Wichai Rawiwanno, Wat Pa Chai Mongkol
Phrakhru Udomwananu Rak (Sommai Piyadhammo), Wat Udomwanasan
Phrakhru Phawana Udomkun (Sopha Uttamo), Wat Khao Wanchai Nawarat
Phra Phawanawithet (Luang Pho Khemadhammo), Wat Pa Santitham
Phra Khru Nimitwiriyanukul (Subin Uttamo), Wat Pa Ban Nong Waeng
Phra Ajahn Chamlong Kittipanyo, Nekkhamma Phirom Monks' Residence
Phra Palad Thongchan Phutthayano, Pha Wan Valley Monks' Residence
Phra Achan Pasanno, Wat Pa Aphai Khiri
Phra Ajarn Khamphan Thitadhammo, Wat Pa Don Chik (Dong Ta Pu)
Phrakhru Sutham Prachot (Khamphong Thitpunyo), Wat Pa Phithak Tham
Phra Ajarn Nusin Yanasangwa, Lokuttabhumi Monks' Residence
Phra Achan Thirathammo, Phothiyanaram Temple
Phra Ajahn Wirathammo, Wat Tisarana
Phra Ajahn Suriyon, Chandapañño Wat Nong Pa Pong
