session,teacher,chapter,pageRange,firstPassage,lastPassage,extraReading,date
2,AA,1,16-30,1,1,Yes,08/01/2025
3,AA,1,30-35,2,11,,09/01/2025
4,AA,1,39-42,13,14,,12/01/2025
5,AA,2,43-48,1,8,,15/01/2025
6,AA,2,48-52,9,11,,16/01/2025
7,AA,2,52-56,12,18,,17/01/2025
8,AA,3,58-61,1,2,,18/01/2025
9,AA,3,61-63,3,4,,19/01/2025
10,AA,3,64-67,5,9,,20/01/2025
11,AA,4,68-70,1,2,,23/01/2025
12,AA,4,70-76,2,6,,24/01/2025
13,AA,4,80-82,9,9,,26/01/2025
14,AA,4,82-86,9,10,,27/01/2025
15,AA,5,87-92,1,9,,30/01/2025
16,AA,5,92-96,10,14,Yes,01/02/2025
17,AA,5,96-101,15,18,Yes,02/02/2025
18,AA,5,101-105,19,26,,03/02/2025
19,AA,5,105-109,27,32,,04/02/2025
20,AA,5,109-112,33,36,,07/02/2025
22,AP,13,224-225,1,3,Yes,09/02/2025
23,AP,13,226-230,4,9,,10/02/2025
24,AP,13,230-233,10,13,Yes,11/02/2025
25,AP,13,233-235,14,14,Yes,14/02/2025
26,AP,13,235,15,15,Yes,15/02/2025
27,AP,13,235-239,16,19,Yes,16/02/2025
28,AP,13,239-246,20,27,,17/02/2025
29,AP,14,247-248,1,2,Yes,18/02/2025
30,AP,14,248-251,3,8,Yes,19/02/2025
31,AP,14,251-252,8,9,Yes,22/02/2025
32,AP,14,252-253,10,10,Yes,23/02/2025
33,AP,14,253-256,11,14,Yes,24/02/2025
34,AP,14,256-258,15,17,Yes,25/02/2025
35,AP,14,258-265,18,34,Yes,28/02/2025
36,AA,6,117-123,2,8,,02/03/2025
37,AA,6,123-124,9,9,Yes,03/03/2025
37,AA,7,125-126,1,1,Yes,03/03/2025
38,AA,7,126-132,2,11,,04/03/2025
39,AA,8,133-137,1,3,Yes,05/03/2025
40,AA,8,137-140,4,6,,08/03/2025
41,AA,8,141-142,7,10,Yes,09/03/2025
42,AA,8,143-146,11,15,,10/03/2025
43,AA,8,146-150,16,22,Yes,11/03/2025
44,AA,8,151-154,23,27,,12/03/2025
45,AA,8,154-156,28,31,Yes,15/03/2025
45,AA,9,157-158,1,1,Yes,15/03/2025
46,AA,9,158-165,2,10,Yes,16/03/2025
47,AP,15,266-270,1,4,Yes,17/03/2025
48,AP,15,270-274,5,8,Yes,18/03/2025
49,AP,15,274-277,9,14,Yes,19/03/2025
50,AP,12,198-203,9,13,Yes,20/03/2025
51,AP,12,203-207,14,14,,23/03/2025
52,AP,12,207-212,15,19,Yes,24/03/2025
52,AP,11,191,8,8,Yes,24/03/2025
53,AP,15,277-278,15,16,Yes,25/03/2025
53,AP,16,279-281,1,4,Yes,25/03/2025
54,AP,16,281-286,5,11,,25/03/2025
