Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Abhayagiri 25th Anniversary Retreat,,,,,,,,,,,,,,,,,,
Subtitle,Nine Days of Dhamma,,,,,,,,,,,,,,,,,,
Code,Anniversary2021,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Anniversary events,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AA;ASd;AKd;ANy,,,,,,,,,,,,,,,,,,
Start date,09/06/2021,,,,,,,,,,,,,,,,,,
End date,17/06/2021,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Abhayagiri,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/3/142-abhayagiri-25th-anniversary-retreat-nine-days-of-dhamma?,,,,,,,,,,,,,,,,,,
Description,"In the midst of the coronavirus pandemic, the senior monks of Abhayagiri Monastery offered a nine-day hybrid retreat to celebrate its 25th anniversary. Only two Q&A sessions and a talk by Ajahn Pasanno are currently included in the Archive.",,,,,,,,,,,,,,,,,,
Sessions,12,,,,,,,,,,,,,,,,,,
Excerpts,154,,,,,,,,,,,,,,,,,,
Tags applied,578,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,8:56:47,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,09/06/2021,2021-06-09 Recollecting our Elders (Day 1 Introduction) Ajahn Pasanno - 25th Anniversary.mp3,59:15,AP,Recollecting our Elders,,13,Abhayagiri,,,,3555,,,,,,,
3,09/06/2021,2021-06-09 Take Refuge in Awareness (Day 1 talk) Ajahn Nyaniko - 25th Anniversary.mp3,34:52,ANy,Take Refuge in Awareness,,1,,,,,2092,,,,,,,
5,10/06/2021,2021-06-10 Q&A Day 2 Ajahn Nyaniko - 25th Anniversary.mp3,39:27,ANy,Q&A Day 2,,13,,,,,2367,,,,,,,
6,10/06/2021,2021-06-10 A Great Possibility (Day 2 talk) Ajahn Sudanto - 25th Anniversary.mp3,33:50,ASd,A Great Possibility,,13,Abhayagiri,,,,2030,,,,,,,
8,11/06/2021,2021-06-11 Happy to Stay. Ready to Go. (Day 3 talk) Ajahn Amaro - 25th Anniversary.mp3,53:18,AA,Happy to Stay. Ready to Go.,,16,Abhayagiri,,,,3198,,,,,,,
9,11/06/2021,2021-06-11 Q&A Day 3 Ajahn Pasanno - 25th Anniversary.mp3,41:54,AP,Q&A Day 3,,9,,,,,2514,,,,,,,
11,12/06/2021,2021-06-12 Practice Doesn't Have to Be Grim (Day 4 talk) Ajahn Nyaniko - 25th Anniversary.mp3,51:50,ANy,Practice Doesn't Have to Be Grim,,13,Abhayagiri,,,,3110,,,,,,,
12,12/06/2021,2021-06-12 Q&A Day 4 Ajahn Karunadhammo - 25th Anniversary.mp3,47:38,AKd,Q&A Day 4,,12,,,,,2858,,,,,,,
16,13/06/2021,2021-06-13 Q&A Day 5 Ajahn Nyaniko - 25th Anniversary.mp3,44:14,ANy,Q&A Day 5,,21,,,,,2654,,,,,,,
18,14/06/2021,2021-06-14 Communal Harmony as a Priority (Day 6 talk) Ajahn Karunadhammo - 25th Anniversary.mp3,49:49,AKd,Communal Harmony as a Priority,,19,Communal harmony,,,,2989,,,,,,,
19,14/06/2021,2021-06-14 Q&A Day 6 Ajahn Pasanno - 25th Anniversary.mp3,43:38,AP,Q&A Day 6,,16,,,,,2618,,,,,,,
22,15/06/2021,2021-06-15 Q&A Day 7 Ajahn Karunadhammo - 25th Anniversary.mp3,37:02,AKd,Q&A Day 7,,8,,,,,2222,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Story,,9:32,12:08,"In 1995, the Saṅgha in England finally gives permission for a more permanent monastic residence in California. Master Hua offers Ajahn Sumedho 125 acres in Redwood Valley the next day.",,Saṅghapāla,Elders' Council,Master Hsuan Hua,Ajahn Sumedho,Deva,,,,,,,,
1,Story,,13:59,16:28,Ajahn Pasanno offers to help Ajahn Amaro with the California monastery project.,,Ajahn Pasanno,Ajahn Amaro,,,Chithurst,Wat Pah Nanachat,Saṅgha decision making,,,,,,
1,Story,0,16:36,19:15,"The property next door: ""You can either buy it or forget it.""",,,,,,Saṅghapāla,Ajahn Pasanno,Ajahn Amaro,Mutual lay/Saṅgha support,,,,,
1,Story,s,19:34,22:18,The day before Abhayagiri opened; Ajahn Pasanno moves to Abhayagiri.,,Festival days,Ajahn Amaro,Ajahn Karuṇadhammo,Ajahn Pasanno,Saṅghapāla,Wat Pah Nanachat,,,,,,,
1,Story,,22:20,25:04,Abhayagiri's first kutis.,,Lodging,,,,Ajahn Pasanno,Building projects,,,,,,,
1,Recollection,,25:07,26:40,Generous contributions in the early days of Abhayagiri.,,Lay supporters,Generosity,,,Lodging,Ajahn Karuṇadhammo,,,,,,,
1,Reflection,o,26:38,29:57,Abhayagiri: a place of safety.,,Fear,,,,Pāli,Realms of existence,Culture/West,Competitiveness,Abuse/violence,,,,
1,Story,,30:22,34:20,The original Abhayagiri Monastery.,,Abhayagiri (Sri Lanka),History/Sri Lankan Buddhism,,,Theravāda,Mahāyāna,Commentaries,Study monks,Conflict,Yes,,History/Sri Lankan Buddhism,100
1,Extra tags,,,,,,,,,,Royalty,Stupas/monuments,Ajahn Pasanno,Master Hsuan Hua,Abhayagiri,,,,
1,Reference,,,,"[The Path to Freedom (Vimuttimagga)](https://buddhistuniversity.net/content/monographs/vimuttimagga_nyanatusita), translated by Bhikkhu Ñāṇatusita",,,,,,,,,,,,,,
1,Reflection,,34:22,37:44,Our warm relationship with the City of Ten Thousand Buddhas.,,City of Ten Thousand Buddhas,Communal harmony,,,Master Hsuan Hua,Ajahn Sumedho,Non-contention,,,,,City of Ten Thousand Buddhas,100
1,Story,,,,Ajahn Sumedho is invited to teach from Master Hua's Dhamma seat.,,Ajahn Sumedho,Master Hsuan Hua,City of Ten Thousand Buddhas,Teaching Dhamma,,,,,,,,,
1,Recollection,,,,The first days of Wat Pah Nanachat.,,Wat Pah Nanachat,,,,Ajahn Chah,Ajahn Sumedho,Ajahn Pasanno,,,Yes,,,
1,Story,,39:37,40:44,Ajahn Liem declares that the Abhayagiri's Reception Hall will last at least 150 years.,,Ajahn Liem,Building projects,Lodging,,,,,,,,,,
1,Reflection,,40:50,43:44,Ajahn Sumedho was a catalyst for Abhayagiri to happen.,,Ajahn Sumedho,,,,Western Ajahn Chah lineage,Elders' Council,,,,,,Ajahn Sumedho,140
1,Indirect quote,,,,You should appreciate all that Ajahn Sumedho has done. He's been the tank that has prepared the way for all the rest of you.|Ajahn Chah,,Ajahn Chah,Ajahn Sumedho,Western Ajahn Chah lineage,Respect for elders,Similes,,,,,,,,
1,Comment,,,,Ajahn Sumedho is the most senior American bhikkhu in the world.,ANy,Ajahn Sumedho,,,,,,,,,,,,
1,Comment,,43:46,47:30,These days Ajahn Sumedho is on fire teaching Dhamma.,AP,Ajahn Sumedho,Teaching Dhamma,,,Amaravati,Ageing,,,,Yes,,Ajahn Sumedho,150
1,Quote,,,,He's not talking a lot about the details. He's talking about the essence. It's very beautiful.,,Ajahn Sumedho,Teaching Dhamma,Liberation,Knowledge and vision,Simplicity,Proliferation,,,,,,,
1,Note,,,,"As of mid-2024, Ajahn Sumedho continues to give weekly Dhamma talks available on [Amaravati's YouTube channel](https://www.youtube.com/playlist?list=PL--llepYBCu4lh112KIeRZ75keS_283ox).",,,,,,,,,,,,,,
1,Reflection,,48:30,52:46,Ajahn Chah is the inspiration for all of us.,,Ajahn Chah,Faith,,,Respect for elders,Ajahn Pasanno,Knowing itself,Teaching Dhamma,Simplicity,Yes,,,
1,Indirect quote,,,,"If buffaloes can learn, surely these farangs [foreigners] can learn.|Ajahn Chah",,Ajahn Chah,Western Ajahn Chah lineage,Teaching Dhamma,,,,,,,,,,
3,Story,,25:49,27:36,Anagārika Lief requests to become a novice.,,Ajahn Ñāṇiko,Postulants,Abhayagiri,,Wat Pah Pong,Sequence of training,Lunar observance days,Ajahn Amaro,,,,,
5,,,1:02,5:32,How do I put the Four Noble Truths into practice in daily life?,,Four Noble Truths,Everyday life,,,Discernment,Suffering,Noble Truth of Suffering,Cause of Suffering,,,,,
5,,,5:37,9:13,Can you talk more about the shift from feeling unsafe to feeling safe?,,Fear,,,,Knowing itself,Suffering,Pandemic,,,,,,
5,Indirect quote,,,,Being alive has many inherent risks.|Sondra Jewell,,Characteristics of existence,Impermanence,,,,,,,,,,,
5,,,9:30,12:04,"In living with others, we tend to stick with our perceptions, causing potential conflict with them. How can we accept others as they are and be able to live with others harmoniously?",,Perception,Conflict,Communal harmony,,Goodwill,Judgementalism,Generosity,,,,,,
5,,,12:06,17:20,How should a person cope with loneliness without having to rely on other things/people/contact?,,Loneliness,,,,Seclusion,Ajahn Ñāṇiko,Discernment,Present moment awareness,,,,,
5,,,17:35,19:25,What is the attitude to have towards others who are not on the path but are close family members?,,Family,,,,Judgementalism,Respect,,,,,,,
5,Cut audio,,17:58,18:13,,,,,,,,,,,,,,,
