Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,28th Anniversary Practice and Study Day,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Anniversary2024,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Anniversary events,,,,,,,,,,,,,,,,,,
Series2,Practice and Study Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AbhSangha,,,,,,,,,,,,,,,,,,
Start date,01/06/2024,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Abhayagiri,,,,,,,,,,,,,,,,,,
Website,https://www.youtube.com/watch?v=cVV4GqiP0L8&list=PLoNO26iBjavZ9QeB1LpPJQH_BAqKKSdEu&index=40,,,,,,,,,,,,,,,,,,
Description,"Abhayagiri Buddhist Monastery commemorated its 28th anniversary with a Practice and Study Day on the theme of mindfulness of breathing and the contemplation of death. That evening, senior monks offered reflections on the history of Abhayagiri.",,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,20,,,,,,,,,,,,,,,,,,
Tags applied,129,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:26:45,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
4,01/06/2024,2024-06-02 Questions and Answers 28th Anniversary Practice and Study Day (4 of 5).mp3,28:34,AP;AKd;ANy,Questions and Answers,https://www.abhayagiri.org/media/audio/28th%20Anni%20Daylong/QuestionsAndAnswers_06.01.2024.mp3,0,,,,,1714,,,,,,,
6,01/06/2024,2024-06-02 Stories From Our Past (Reflections From Abhayagiri's 28th Anniversary).mp3,58:11,AP;AKd;ANy;ACu;AThp;ASdr,Stories from Our Past,https://www.abhayagiri.org/media/audio/DT%202024/StoriesFromOurPast_06.01.2024.mp3,20,Abhayagiri,,,,3491,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
