Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Abhayagiri's 30th Annivesary Part 1,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Anniversary2026-1,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Anniversary events,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AAh;APavaro;APes,,,,,,,,,,,,,,,,,,
Start date,30/05/2026,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Abhayagiri,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/9165-the-peace-weve-always-wanted,,,,,,,,,,,,,,,,,,
Description,Four long-time members of the Abhayagiri community reflect on the purpose and values of Abhayagiri monastery.,,,,,,,,,,,,,,,,,,
Sessions,4,,,,,,,,,,,,,,,,,,
Excerpts,18,,,,,,,,,,,,,,,,,,
Tags applied,116,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:35:25,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,30/05/2026,ThePeaceWeveAlwaysWanted_AjPsl_05.30.2026.mp3,24:17,APes,The Peace We've Always Wanted,https://www.abhayagiri.org/media/audio/2026/Dhamma%20Talks%202026/ThePeaceWeveAlwaysWanted_AjPsl_05.30.2026.mp3,7,Abhayagiri,,,,1457,,,,,,,
2,30/05/2026,SeededLife_AjPvr_05.30.2026.mp3,17:32,APavaro,Seeded Life,https://www.abhayagiri.org/media/audio/2026/Dhamma%20Talks%202026/SeededLife_AjPvr_05.30.2026.mp3,3,,,,,1052,,,,,,,
3,30/05/2026,TheInfrastructureOfPeace_AjAhim_05.30.2026.mp3,22:08,AAh,The Infrastructure of Peace,https://www.abhayagiri.org/media/audio/2026/Dhamma%20Talks%202026/TheInfrastructureOfPeace_AjAhim_05.30.2026.mp3,4,,,,,1328,,,,,,,
4,30/05/2026,ParametersOfTheDhammaHonoringTheBuddhaInOurDailyLife_LPP_05.31.2026.mp3,31:28,AP,Parameters of the Dhamma: Honoring the Buddha in Our Daily Life,https://www.abhayagiri.org/media/audio/2026/Dhamma%20Talks%202026/ParametersOfTheDhammaHonoringTheBuddhaInOurDailyLife_LPP_05.31.2026.mp3,4,,,,,1888,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Reflection,,0:05,2:14,Returning to Abhayagiri after four years away.,,,,,,Ajahn Pesalo,Berkeley Buddhist Monastery,Ajahn Amaro,Ajahn Pasanno,Sequence of training,,,,
1,Extra tags,,,,,,,,,,Beauty,,,,,,,,
1,Reflection,,2:14,4:17,The purpose of Abhayagiri hasn't changed.,,Four Noble Truths,,,,Master Hsuan Hua,Ajahn Ñāṇiko,Abbot,Tranquility,Happiness,,,,
1,Reflection,,6:34,8:49,These monasteries support us while we succeed and fail in finding the teachings and practices that lead to a place of well-being and peace.,,Monasteries,Meditation,Happiness,,Monastic life,Mutual lay/Saṅgha support,Gratitude,,,,,,
1,Sutta,,,,"AN 10.48: ""My very life is sustained by the gifts of others"" (Chanting Book p. 57).",,,,,,,,,,,,,,
1,Reflection,,8:51,11:28,The first 12 years of monastic life are an opportunity to soak in the Dhamma practice.,,Sequence of training,Learning,Hearing the true Dhamma,,Teaching Dhamma,Humility,Cleanliness,Happiness,Thai Forest Tradition,,,,
1,Extra tags,,,,,,,,,,Meditation/Techniques,,,,,,,,
1,Reflection,,12:28,18:16.5,The balance between community and self-reliance.,,Saṅgha,Self-reliance,,,Faith,Ajahn Chah,Trust,Ajahn Pesalo,Monastic life,,,Trust,120
1,Extra tags,,,,,,,,,,Present moment awareness,,,,,,,Self-reliance,120
1,Indirect quote,,,,"One's attitude towards practice should be: 'If he can do it, I can do it.'|Ajahn Mahā Boowa",,Ajahn Mahā Boowa,Meditation,,,,,,,,,,,
1,Indirect quote,,,,You are the awareness. All of us are the awareness.|Ajahn Sumedho,,Ajahn Sumedho,Knowing itself,,,,,,,,,,,
1,Indirect quote,,,,Give it 40 years.|Ajahn Sucitto,,Ajahn Sucitto,Determination,Patience,,,,,,,,,,
1,Simile,,18:16.5,21:31,Long-term Dhamma practice is like walking to New York City from California.,,Long-term practice,Patience,Determination,Similes,Middle Path,Meditation,Relinquishment,Faith,Recollection/Virtue,Yes,,,
1,Reflection,,,,Abhayagiri is a wonderful place to practice.,,Meditation,Gratitude,,,Ajahn Pesalo,,,,,,,,
1,Simile,,,,A good family.,,Saṅgha,Similes,,,,,,,,,,,
1,Reflection,,22:37,24:17,These practices and teachings lead to that which we all seek.,,Meditation,Purpose/meaning,,,Three Refuges,Monasteries,Gratitude,,,,,,
2,Recollection,,0:52.3,2:28.5,My first meeting with Ajahn Pasanno.,,Ajahn Pavaro,Ajahn Pasanno,,,Birken,Personal presence,,,,,,,
2,Recollection,,2:29,4:24,Friendship and consistency of training at Abhayagiri Monastery.,,Ajahn Pavaro,Birken,Abhayagiri,Monastic life,,,,,,,,,
2,Extra tags,,,,,,Spiritual friendship,,,,,,,,,,,,
2,Recollection,,4:24,7:16,Seeing the faith in Thailand.,,Ajahn Pavaro,Culture/Thailand,Faith,Respect,Ajahn Pasanno,,,,,,,,
3,Reflection,,0:32.3,4:10,My monastic life was born at Abhayagiri.,,Ajahn Ahiṃsako,Abhayagiri,Monastic life,,,,,,,,,,
3,Indirect quote,,4:15,6:56,Monasteries are made of people.|Ajahn Pasanno,,Ajahn Pasanno,Monastic life,Community,,Desire,Saṅghapāla,Buddha,Saṅgha,Abhayagiri,,,,
3,Recollection,o,6:46.5,10:38,The early foundations of Abhayagiri Monastery.,,Abhayagiri,,,,Ajahn Amaro,Desire,Lodging,Saṅgha,Community,,,,
3,Fragment,,8:33.3,10:38,,,,,,,,,,,,,,,
3,Reflection,,,,Building foundations of community requires care and attention.,,Saṅgha,Community,,,Vinaya,Abhayagiri,,,,,,Community,150
3,Indirect quote,-,,,Holding on with wisdom.|Ajahn Jayasaro,,Ajahn Jayasaro,Clinging,Discernment,,,,,,,,,,
4,Summary,,Session,,"On the occasion of Visākha Pūjā, Ajahn Pasanno draws upon the Buddha's exhortation to Mahāpajāpatī Gotamī (AN 8.53) to explain how we can honor the Buddha by practicing Dhamma in accordance with Dhamma.",,Buddha,Meditation,Practicing in accordance with Dhamma,,,,,,,,,,
4,Reflection from,,20:42,22:45.5,"about rich people: ""They may have money, but they don't know what's enough.""|Ajahn Chah",,Ajahn Chah,Commerce/economics,Greed,,Relinquishment,Happiness,Contentment,,,,,,
4,Reflection,,23:00,24:23,"The cause of dukkha is ever seeking fresh delight, now here, now there, even in the spiritual search (SN 56.11.5; Chanting Book V2 p. 4).",,Cause of Suffering,Spiritual search,,,Greed,Relinquishment,Contentment,,,,,,
4,Recollection,,26:43,29:16,"A monk who memorized the entire Tipiṭaka advises, ""Don't be lazy.""",,,Tipiṭaka,Memory,Energy,,,,,,,,,
