Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Using the Mind to Recollect,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Appamada2024,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,None,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,09/09/2024,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/8669-using-the-mind-to-recollect,,,,,,,,,,,,,,,,,,
Description,"An online guided meditation, Dhamma talk, and question and answer session with the Israeli Appamada Dhamma group.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,4,,,,,,,,,,,,,,,,,,
Tags applied,25,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:14:01,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,09/09/2024,2024-09-10 Using the Mind to Recollect.mp3,1:14:01,AP,,https://www.abhayagiri.org/media/audio/DT%202024/UsingTheMindToRecollect_LPP_09.09.2024.mp3,4,,,,,4441,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,48:22.5,54:35,What do you do at Abhayagiri? What is the value of being a monk? What's the value of having a global saṅgha?,,Abhayagiri,Monastic life,Saṅgha,,Monasteries,Fear,Culture/Natural environment,Community,,,,,
0,,,55:22,1:02:53,"Could you say a few words about how to cope emotionally with everything that's happened since October 7? Everyone in Israel is still traumatized. This is an ongoing event, and everybody is so emotionally unstable. It's like being on an active volcano....",,Abuse/violence,Suffering,Politics and society,,Spiritual friendship,Goodwill,Human,Delusion,,,,,
0,Cut audio,,1:00:46,1:00:55,,,,,,,,,,,,,,,
0,,,1:03:24,1:07:55,Could you talk about the practicalities of reflective meditation for someone who hasn't done much of this?,,Recollection,,,,Mindfulness,Translation,Concentration,Impermanence,Knowing itself,,,,
0,Indirect quote,,,,The point that includes|Ajahn Sumedho,,Ajahn Sumedho,Unification,Spaciousness,Mindfulness,Concentration,,,,,,,,
