Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Awaken to the New Year Retreat,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Awaken2021,,,,,,,,,,,,,,,,,,
Series,Other retreats,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,01/01/2021,,,,,,,,,,,,,,,,,,
End date,03/01/2021,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/137-awaken-to-the-new-year-retreat-by-ajahn-pasanno,,,,,,,,,,,,,,,,,,
Description,"An online New Year’s retreat taught by Luang Por Pasanno from January 1 to January 3, 2021 (Malaysian time) organized by the Buddhadhamma Foundation and Bandar Utama Buddhist Society. 350 people in 19 countries participated.",,,,,,,,,,,,,,,,,,
Sessions,5,,,,,,,,,,,,,,,,,,
Excerpts,22,,,,,,,,,,,,,,,,,,
Tags applied,167,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,6:37:13,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,01/01/2021,2021-01-01 Purifying the Foundations of Wholesomeness.mp3,1:18:39,AP,Purifying the Foundations of Wholesomeness,https://www.abhayagiri.org/media/audio/youtube/59uEyccuLHY.mp3,6,,,,,4719,,,,,,,
2,01/01/2021,2021-01-01 Paying Attention to Goodness.mp3,1:28:13,AP,Paying Attention to Goodness,https://www.abhayagiri.org/media/audio/youtube/VuNnwOFJ0To.mp3,8,,,,,5293,,,,,,,
3,02/01/2021,"2021-01-02 Releasing the Hindrances, Coming Home.mp3",1:18:59,AP,"Releasing the Hindrances, Coming Home",https://www.abhayagiri.org/media/audio/youtube/c59CVtw1OjE.mp3,2,,,,,4739,,,,,,,
4,02/01/2021,2021-01-02 Mindfulness of Breathing Food for the Heart.mp3,1:31:37,AP,Mindfulness of Breathing: Food for the Heart,https://www.abhayagiri.org/media/audio/youtube/i0h2D2ojm-8.mp3,5,,,,,5497,,,,,,,
5,03/01/2021,2021-01-03 True Awakening through the Four Noble Truths.mp3,59:45,AP,True Awakening through the Four Noble Truths,https://www.abhayagiri.org/media/audio/youtube/EvRbEVxybnI.mp3,1,,,,,3585,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Other,,Session,,++Sutta++: SN 47.3: Purify the foundations of wholesomeness.,,,,,,,,,,,,,,
1,,,51:48,1:00:37,"I find it very difficult to stay with the breath. After 15-20 minutes, the mind will be very bored with the breath and cannot stay with it. Could you advise what is a good meditation for an easily restless mind?",,Mindfulness of breathing,Restlessness and worry,,,Attitude,Desire,Meditation/Techniques,Investigation of states,,,,,
1,Extra tags,,,,,,,,,,Gladdening the mind,Happiness,,,,,,,
1,Sutta,,,,MN 118: Ānāpānasati Sutta,,,,,,,,,,,,,,
1,Sutta,s,,,"AN 11.1, AN 11.12, and SN 55.40 illustrate the causal chain between happiness and samādhi. ",,,,,,,,,,,,,,
1,,,1:00:50,1:01:17,The mind is scattered and wandering. Any advice to settle down the mind? I'm currently practicing Buddho.,,Restlessness and worry,Tranquility,Buddho mantra,,Desire,,,,,,,,
1,Note,,,,The [previous question](excerpt:Awaken2021_S1_F1) answers this in detail.,,,,,,,,,,,,,,
1,Question,,1:01:24,1:05:27,Is it all right to do Buddho recitation after my mind is calm on breath meditation?,,Buddho mantra,Tranquility,Mindfulness of breathing,,Recollection/Buddha,Knowing itself,Gladdening the mind,Desire,Concentration,,,,
1,,,1:05:47,1:11:52,How to overcome anxiety? How always to be with Dhamma in the heart?,,Fear,,,,Goodwill,Compassion,Generosity,Spaciousness,Impermanence,,,,
1,Extra tags,,,,,,,,,,Ajahn Chah,Proliferation,Mindfulness,Clear comprehension,Skillful qualities,,,,
1,,,1:12:25,1:17:33,How to get rid of judgemental critical thoughts about others?,,Judgementalism,,,,Craving not to become,Goodwill,Compassion,Similes,,,,,
2,,,46:09,51:01,"When we meditate, we observe our breath. What should we do if we reach a state of stillness where no breath can be observed?",,Mindfulness of breathing,Calming meditation,Concentration,Tranquility,Knowing itself,Happiness,Thai Forest Tradition,Mindfulness,Buddho mantra,,,,
2,,,51:28,57:24,"During my sitting this morning, the thoughts keep arising one after the other. It seems endlessly. How do I notice, learn, and recognize thoughts as a function of the mind and not be affected by them? Also, how can one make use of skillful thoughts in meditation?",,Restlessness and worry,Proliferation,Directed thought and evaluation,Mindfulness of mind,Craving not to become,Characteristics of existence,Insight meditation,Relinquishment,Goodwill,,,,
2,Extra tags,,,,,,Recollection,,,,Patience,Concentration,Attitude,,,,,,
2,Indirect quote,,,,_Kae nun lae_ (Thai) – It's just that much.|Ajahn Chah,,Ajahn Chah,,,,,,,,,,,,
2,,,58:02,59:50,What technique helps one see arising and ceasing really clearly?,,Meditation/Techniques,Impermanence,,,Characteristics of existence,Teaching Dhamma,Faith,,,,,,
2,Sutta,,,,AN 2.19,,,,,,,,,,,,,,
2,,,59:58,1:07:33,What technique to use to realize the fruits of this practice in this life? What technique is easiest and most effective?,,Meditation/Techniques,Stages of awakening,,,Ardency,Energy,Right Effort,Learning,Practicing in accordance with Dhamma,,,Meditation/Techniques,200
2,Quote,,,,I can guarantee that looking for the easiest way is the least effective way.,,Right Effort,,,,,,,,,,,,
2,Indirect quote,,,,Practice is one mistake after another.|Dōgen,,Dōgen,Practicing in accordance with Dhamma,Energy,,,,,,,,,,
2,Story,,,,"Someone asks the Dalai Lama, ""What is the easiest and quickest way to realize emptiness?"" The Dalai Lama cries.",,Dalai Lama,Emptiness,Fierce/direct teaching,Practicing in accordance with Dhamma,Ardency,,,,,,,,
2,Sutta,,,,AN 3.137: A teaching of effort.,,,,,,,,,,,,,,
2,,,1:11:22,1:15:15,"In regard to compassion practice, I feel as if I have refined the awareness of myself and how my actions impact others. Also, my sensitivity has increased. If I feel that I have said or done something that caused someone hurt, I immediately attempt to clean it up. At the same time, I feel great pain for having been unskillful. Please advise on how to refine my understanding so that I suffer less for this.",,Compassion,Conscience and prudence,Suffering,,Self-identity view,Respect,Guilt/shame/inadequacy,Skillful qualities,,,,,
2,,,1:15:21,1:19:30,"When we accidentally break the Eight Precepts, once we realize it, what's the proper response in the mind?",,Eight Precepts,,,,Volition,Virtue,Renunciation,,,,,,
2,,2,1:20:15,1:23:09,about the function of mindfulness of breathing.,,Mindfulness of breathing,Calming meditation,Insight meditation,,Meditation/Techniques,Sutta,Characteristics of existence,,,,,,
2,,,1:23:29,1:27:55,"Regarding metta practice, sometimes metta is there and it helps to handle challenging situations. But sometimes there is restlessness and hostility, and I get reactive. How to work with this so the mind can be tamed?",,Goodwill,Restlessness and worry,Aversion,,Continuity of mindfulness,Spiritual friendship,Emotion,Spaciousness,Happiness,,,,
2,Extra tags,,,,,,,,,,Tranquility,,,,,,,,
3,,,56:34,1:04:42,"Sometimes in meditation, it feels like I'm moving in waves even though my body is still. What does it mean? What should I do when it happens?",,Meditation/Unusual experiences,,,,Self-identity view,Mindfulness of feeling,Right Mindfulness,Four Noble Truths,Liberation,,,,
3,Extra tags,,,,,,,,,,Mindfulness of body,,Mindfulness of dhammas,Factors of Awakening,,,,,
3,Sutta,,,,MN 10.4: Satipaṭṭhāna Sutta.,,,,,,,,,,,,,,
3,,,1:10:24,1:18:41,I would appreciate further explanation of vitakka and vicāra.,,Directed thought and evaluation,,,,Translation,Investigation of states,Bases of Success,Desire,Energy,,,,
3,Extra tags,,,,,,,,,,Heart/mind,Calming meditation,Hindrances,Happiness,,,,,
3,Recollection,,,,Ajahn Chah's teachings about vitakka-vicāra.,,Ajahn Chah,Directed thought and evaluation,,,,,,,,,,,
4,,,1:05:43,1:09:45,What are excercises for laypeople to overcome laziness?,,Lay life,Sloth and torpor,,,Recollection/Buddha,Recollection/Dhamma,Recollection/Saṅgha,Community,Pandemic,,,,
4,Extra tags,,,,,,,,,,Online community,,,,,,,,
4,,,1:09:52,1:14:22,"There is a constant sense of confusion underneath most of the experiences. Other defilements come and go, but moha of various form and intensity seems to be always present. Any suggestions?",,Delusion,Unwholesome Roots,,,Mindfulness,Clear comprehension,Mindfulness of body,Continuity of mindfulness,,,,Delusion,150
4,Cut audio,r,3:07.6,3:26.4,,,,,,,,,,,,,,,
4,Indirect quote,,,,The mind is a liar and a cheat.|Ajahn Chah,,Ajahn Chah,Heart/mind,False speech,,,,,,,,,,
4,,,1:17:25,1:24:15,Can you please speak to the difference in beginning metta meditation with self as opposed to beginning with an external object or person? I often feel depleted when directing outwards.,,Goodwill,,,,Chanting,Compassion,Politics and society,Spaciousness,,,,,
4,Reference,,,,"Chanting Book p. 41: ""May I abide in well-being.""",,,,,,,,,,,,,,
4,,,1:24:46,1:31:28,How does one live in harmony with others who hold different views and have different understanding about things? How does one live in harmony with oneself when facing challenges?,,Communal harmony,Views,,,Conflict,Right Speech,Delusion,Patience,Association with people of integrity,,,Communal harmony,120
4,Extra tags,,,,,,,,,,Naturalness,,,,,,,,
4,Indirect quote,,,,"Let the forest teach you. If you look around in the forest, there's big trees, there's little trees, there's straight trees, there's crooked trees, there's vines. They all live together in harmony.|Ajahn Chah",,Ajahn Chah,Wat Pah Pong,Culture/Natural environment,Similes,Communal harmony,,,,,,,,
4,Reference,,,,"Chanting Book p. 46, Maṅgala Sutta: Don't associate with fools.",,,,,,,,,,,,,,
5,Indirect quote,u,38:39,41:41,"""What is the essence of the Buddha's teachings?""  — ""Is this a big piece of wood or a little piece of wood?""|Ajahn Chah",,Ajahn Chah,Teaching Dhamma,Conventions,,Desire,Four Noble Truths,,,,,,,
