Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,"New Year, New Life",,,,,,,,,,,,,,,,,,
Subtitle,Life Can Be Improved,,,,,,,,,,,,,,,,,,
Code,BIA2013,,,,,,,,,,,,,,,,,,
Series,Other,,,,,,,,,,,,,,,,,,
Venue,Buddhadasa Indapanno Archives,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,16/12/2013,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/20-new-year-new-life-2013,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,9,,,,,,,,,,,,,,,,,,
Tags applied,122,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:28:16,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,16/12/2013,"2013-12-16 New Year, New Life Life Can Be Improved - Afternoon Session (4 of 4).mp3",34:15,AP,,https://www.abhayagiri.org/media/audio/AP_12_16_2013_New_Year_New_Life_Afternoon_4_of_4.mp3,7,,,,,2055,,,,,,,
2,16/12/2013,"2013-12-16 New Year, New Life Life Can Be Improved - Evening Session (2 of 3).mp3",54:01,AP,,https://www.abhayagiri.org/media/audio/AP_12_16_2013_New_Year_New_Life_Evening_2_of_3.mp3,2,,,,,3241,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:24,3:50,"I see what you're saying about the hindrances, but it seems like that's everything I called my life....So you're saying keep on working at it and it [the mind] gets used to focusing?",,Hindrances,Proliferation,Meditation,,Mindfulness,Goodwill,Recollection/Virtue,Recollection/Generosity,Gladdening the mind,,,,
1,,,4:12,,"What do you think about the idea of secular Buddhism? Earlier you spoke about bhāvanā versus meditation, that meditation is not a useful translation [of bhāvanā]. Do you think secular Buddhism is useful or not?",,Secular Buddhism,Meditation,,,Human,Suffering,Cultural context,Buddhist identity,Culture/West,,,,
1,Extra tags,,,,,,,,,,Education,,,,,,,,
1,Quote,,,,Anything is useful if it's picking up the actual teachings of the Buddha and applying [them] in a skillful way.,,Eightfold Path,Skillful qualities,,,,,,,,,,,
1,Comment,**,10:00,11:12,"You spent time with Ajahn Buddhadāsa. Some people call his teachings secular because he didn't really focus on the supernatural, pretty much similar to Ajahn Chah. This way of thinking [phrase in Thai]. Some people consider that secular.",,Ajahn Buddhadāsa,Secular Buddhism,Supernatural,Ajahn Chah,,,,,,,,,
1,Response,,,,"""I doubt that Ajahn Buddhadāsa did.""",,Ajahn Buddhadāsa,Ajahn Chah,Secular Buddhism,,,,,,,,,,
1,,,11:43,19:00,Could you talk about contemplation in meditation? You mentioned earlier about using methods; my understanding is that they help one to calm the mind. How does one get into the state of contemplation without disturbing that calm state of mind?,,Recollection,Calming meditation,Insight meditation,Characteristics of existence,Mindfulness,Clear comprehension,Directed thought and evaluation,Cessation of Suffering,Desire,,,,
1,Extra tags,,,,,,,,,,Bases of Success,,,,,,,,
1,,m,19:11,24:23,You said you have to adjust and think about contemplating. But how can you do that in your working time?,,Right Effort,Directed thought and evaluation,Discernment,Everyday life,Mindfulness,Clear comprehension,Happiness,Recollection,,,,,
1,Indirect quote,,,,"In daily life, in contact with the world, do you still breathe?|Ajahn Chah",,Ajahn Chah,Everyday life,Mindfulness of breathing,,,,,,,,,,
1,Fragment,,,,,,,,,,,,,,,,,,
1,Follow-up,,,,"In Bangkok, there is lots of news that makes people crazy and divisive. When you see this news, you feel upset and angry.",,News,Conflict,Aversion,Right Speech,Politics and society,Proliferation,,,,,,,
1,Quote,-,,,"I don't care. Not in the sense that I don't think it's serious or that it's not a problem. But I don't care in the sense that I don't want to be getting involved in whatever side people are working themselves up about, because the problem is much deeper than that. We have to pay attention to the deeper problem, both in the human condition and politically.",,Politics and society,Conflict,Human,,,,,,,,,,
1,Question,f,22:08.4,24:23,"In Bangkok, there is lots of news that makes people crazy and divisive. When you see this news, you feel upset and angry.",,News,Conflict,Aversion,,Right Speech,Politics and society,Proliferation,,,,,News,150
1,Quote,,,,"I don't care. Not in the sense that I don't think it's serious or that it's not a problem. But I don't care in the sense that I don't want to be getting involved in whatever side people are working themselves up about, because the problem is much deeper than that. We have to pay attention to the deeper problem, both in the human condition and politically.",,Politics and society,Conflict,Human,,,,,,,,,,
1,,,24:33,33:23,"I find I do need some pleasures even though they don't last, things like fine arts and being in nature. I'm curious, how did you manage as a monk in your early years at Ajahn Chah's monastery where there's almost no pleasure....How did you manage to keep going over the years until the present?",,Sensual desire,Artistic expression,Culture/Natural environment,Ajahn Pasanno,Cessation of Suffering,Happiness,Simplicity,Association with people of integrity,Empathetic joy,,,Happiness,150
1,Extra tags,,,,,,Monastic life,Ajahn Chah,Food,Entertainment and adornment,Human,Hindrances,Jhāna,Virtue,Discernment,,,Simplicity,120
1,Extra tags,,,,,,Monastic life/Motivation,,,,,,,,,,,,
1,Quote,,,,One of the extraordinary perks of being a monk is that everyone tries to be good around you.,,Monastic life/Motivation,Virtue,,,,,,,,,,,
1,Sutta,,,,"MN 36.32: ""Why am I afraid of that happiness?""",,Buddha/Biography,Ascetic practices,Suffering,Happiness,Skillful qualities,Eightfold Path,,,,,,,
1,Quote,,,,"As a monk, I can look back on forty years of living in a way where I don't have to feel remorseful or regret anything.",,Virtue,Happiness,Monastic life/Motivation,,,,,,,,,,
2,,,42:28,49:21,"I was struck by the simile of the stone being heavy, but you won't know it's heavy unless you pick it up, and it's just like suffering. You don't have to pick it up. I'm battling a loss in my life, and I'm suffering. I didn't pick up the stone. It was flung at me. I'm not sure how to deal....",,Similes,Ajahn Chah,Suffering,Grief,Human,Naturalness,Equanimity,Self-identity view,Goodwill,,,Naturalness,130
2,Extra tags,,,,,,Christianity,,,,Discernment,,,,,,,,
2,Reference,,,,Chanting Book p. 55: Five Recollections,,Characteristics of existence,Recollection/Death,Kamma,,,,,,,,,,
2,Quote,,,,"Whenever you get into a fight with nature, you always lose.",,Characteristics of existence,Naturalness,,,,,,,,,,,
2,Quote,,,,What makes it heavy is the 'me' bit.,,Self-identity view,Suffering,,,,,,,,,,,
2,,**,49:30,53:52,"You said in the chanting, 'I am the heir to my kamma.' _Gam_ in Thai is what we cultivate in body, speech and mind. In the Thai concept, we also have _jao gam nai ren_. Can Ajahn help me sort this out?",,Kamma,Culture/Thailand,Nature of the cosmos,,Suffering,Health care,Birth,,,,,,
2,Reference,,,,Chanting Book p. 55: Five Recollections,,,,,,,,,,,,,,
2,Follow-up,,,,"My mother is dying at age 88. She had a plane accident 20 years ago and has been completely immobile....In Thai we say, _jao gam nai ren_ must have been chasing after her.",,Family,Sickness,Death,Kamma,,,,,,,,,
