Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,On Nibbāna,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,BuddhaDhamma2024,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Online,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,24/08/2024,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,Nibbāna,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/8668-on-nibbana,,,,,,,,,,,,,,,,,,
Description,"An online guided meditation, Dhamma talk, and question and answer session hosted by the BuddhaDhamma Foundation.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,9,,,,,,,,,,,,,,,,,,
Tags applied,40,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:21:11,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,24/08/2024,2024-08-25 On Nibbana.mp3,1:21:11,AP,,https://www.abhayagiri.org/media/audio/DT%202024/OnNibbana_LPP_08.24.2024.mp3,9,Nibbāna,,,,4871,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,Story,,16:45,19:50.5,Ajahn Dune visits Wat Pah Nanachat. His followers ask the young abbot Ajahn Pasanno to give a Dhamma talk.,,Ajahn Pasanno,Wat Pah Nanachat,Ajahn Dune,Teaching Dhamma,,,,,,,,,
0,Story,,,,"After the talk, someone asks, ""What is Nibbāna like?"" Ajahn Pasanno responds, ""Nibbāna is not like anything."" Ajahn Dune approves.",,Nibbāna,Similes,Ajahn Pasanno,Ajahn Dune,Direct experience,,,,,,,,
0,Indirect quote,,32:55,33:51,Nibbāna is realizing the reality of non-grasping.|Ajahn Chah,,Ajahn Chah,,,,,,,,,,,,
0,,,50:15,54:12,"Why don't we concentrate not so much on personal liberation, but think more about our practice? What are your thoughts about the Bodhisattva ideal, thinking of others all the time rather than achievement or personal liberation?",,Liberation,Bodhisattva,Compassion,,,,,,,,,,
0,Quote,,,,Thinking of yourself is isolating. Thinking of others is proliferating....Suffering is an experience rather than a conceptualization.,,Self-identity view,Proliferation,Suffering,,,,,,,,,,
0,Indirect quote,,,,"Don't be an arhant. Don't be a Bodhisattva. Don't be anything at all. As long as you're anything or anybody, you are going to suffer. And as long as you're suffering, you're going to be sharing that out with everyone else as well.|Ajahn Chah",,Ajahn Chah,Arahant,Bodhisattva,Self-identity view,Suffering,,,,,,,,
0,,,55:00,57:03,Is the practice of jhāna necessary for attaining Nibbāna?,,Jhāna,,,,Self-identity view,Greed,Relinquishment,,,,,Jhāna,?
0,,,57:49,1:00:05,"How to contemplate the state of emptiness, stillness?",,Insight meditation,Emptiness,Tranquility,,Relinquishment,Gladdening the mind,,,,Yes,,,
0,,C,1:00:58.5,1:05:04,Maybe for most practitioners it is possible to understand a little bit about Nibbāna in a momentary sense. But to become permanently free from defilements is more difficult to understand. Please explain.,,Liberation,,,,Buddha/Biography,Teaching Dhamma,,,,,,,
0,Cut audio,,1:03:26.0,1:03:43,,,,,,,,,,,,,,,
0,Sutta,,,,MN 26.19: The Buddha's initial inclination not to teach.,,,,,,,,,,,,,,
0,,,1:05:24,1:08:34,"People associate Nibbāna with a neutral state. Experiencing pīti and sukha is a pleasant state, so why should I meditate to attain this ultimate goal when it's a state of non-feeling?",,Neutral feeling,Rapture,Happiness,,Middle Path,,,,,,,,
0,,,1:08:47,1:12:42,Are there examples in real life that we can witness someone who has attained Nibbāna?,,,,,,Doubt,Four Noble Truths,Buddha/Biography,,,,,,
0,Sutta,,,,MN 26.25: The Buddha's encounter with Upaka.,,,,,,,,,,,,,,
