Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Being Dhamma (with Tigers),,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,CMountain2023,,,,,,,,,,,,,,,,,,
Series,Other,,,,,,,,,,,,,,,,,,
Venue,Clear Mountain Monastery Project,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,15/06/2023,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Interview,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.youtube.com/watch?v=vshYjywMNyY,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno answers questions from Ajahn Kovilo, Ajahn Nisabho, and an online audience about his early life in robes and the progressive understanding of Dhamma.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,17,,,,,,,,,,,,,,,,,,
Tags applied,117,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,46:04,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,15/06/2023,Being Dhamma with Tigers Ajahn Pasanno QA.mp3,46:04,AP,,,17,,,,,2764,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,Story,0,0:23,8:28,Ajahn Kovilo introduces Ajahn Pasanno with a brief biography.,AKov,Ajahn Pasanno,,,,Western Ajahn Chah lineage,Travel,Wat Phleng Vipassanā,Temporary ordination,,,,Ajahn Pasanno,99H
