Modified:,2025,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,
Title,Remembering Ajahn Chah Weekend,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,
Code,Chah2001,,,,,,,,,,,,
Series,Other,,,,,,,,,,,,
Venue,"Portola Valley, California",,,,,,,,,,,,
Teachers,ASumedho;AP;AA;ASundara;AJitindriya;JKornfield;JKappel;PBreiter;Kittisaro;Thanissara,,,,,,,,,,,,
Start date,28/4/2001,,,,,,,,,,,,
End date,29/4/2001,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,
Tags,Ajahn Chah,,,,,,,,,,,,
Website,https://www.abhayagiri.org/20/#ajahn-chah-weekend,,,,,,,,,,,,
Description,"On April 28-29, 2001, over 200 people gathered in Portola Valley to honor the life and teachings of Ajahn Chah. Senior monastic disciples, former monks and nuns, and people who briefly encountered Ajahn Chah recollect their experiences of this great teacher.",,,,,,,,,,,,
Sessions,36,,,,,,,,,,,,
Excerpts,252,,,,,,,,,,,,
Tags applied,1723,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,
Duration,10:49:27,,,,,,,,,,,,
<---->,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,RawDuration
1,28/4/2001,Ajahn Chah Weekend - 01 - Opening Chanting.mp3,5:06,,Opening Chanting,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2001%20-%20Opening%20Chanting.mp3,1,,,,,306,305.7110204
2,28/4/2001,Ajahn Chah Weekend - 02 - Welcome and Reflection by Ajahn Chah.mp3,19:53,,Welcome and Reflection by Ajahn Chah,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2002%20-%20Welcome%20and%20Reflection%20by%20Ajahn%20Chah.mp3,32,Ajahn Chah,,,,1193,1193.377959
3,28/4/2001,Ajahn Chah Weekend - 03 - Legacy of Ajahn Chah by Ajahn Jitindriya.mp3,17:57,AJitindriya,Legacy of Ajahn Chah,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2003%20-%20Legacy%20of%20Ajahn%20Chah%20by%20Ajahn%20Jitindriya.mp3,10,Ajahn Chah,,,,1077,1076.950143
