Modified:,2025,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Chanting,,Session,,Salutation to the Triple Gem,,Chanting,Three Refuges,,,,,,,,,,,
2,Other,,0:03,,Introductory remarks by Gil Fronsdale.,GFronsdale,,,,,Merit,Thai Forest Tradition,,,,,,,
2,Other,,1:38,6:10,Welcome by [Ajahn Amaro](teacher:).,AA,,,,,Free distribution,Hearing the true Dhamma,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,Teaching,0,6:35,19:47,++Teachings++ to Marjorie by [Ajahn Chah](teacher:).,AChah,Thai audio,,,,Similes,Moods of the mind,Heedfulness,Continuity of mindfulness,Cessation of Suffering,,,,
2,Extra tags,,,,,,,,,,Dispassion,Nibbāna,Unconditioned,,,,,,
2,Read by,0,,,Thai audio with English translation. Read by {teachers}.,Kittisaro,,,,,,,,,,,,,
2,Append audio,,0:00,11:00,Ajahn Chah Weekend - 13 - Teachings to Marjorie - Ajahn Chah.mp3,,,,,,,,,,,,,,
2,Reference,,,,"""Living with the Cobra,"" Collected Teachings p. 233.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,Teaching,0om,7:57,9:09,"++Teachings++ to Marjorie by [Ajahn Chah](teacher:), English only.",AChah,,,,,Similes,Moods of the mind,Heedfulness,Continuity of mindfulness,Cessation of Suffering,,,,
2,Extra tags,,,,,,,,,,Dispassion,Nibbāna,Unconditioned,,,,,,
2,Read by,,,,,Kittisaro,,,,,,,,,,,,,
2,Reference,,,,"""Living with the Cobra,"" Collected Teachings p. 233.",,,,,,,,,,,,,,
2,Fragment,,,,noPlayer,,,,,,,,,,,,,,
2,Teaching,,,,Maintain mindfulness throughout the day and night.,AChah,Continuity of mindfulness,,,,,,,,,,,,
2,Fragment,,,,noPlayer,,,,,,,,,,,,,,
2,Quote,0,,,"""There's just suffering arising and passing away.""",AChah,Suffering,Impermanence,,,,,,,,,,,
2,Fragment,,,,noPlayer,,,,,,,,,,,,,,
2,Quote,0,,,"""You'll want to make an end of things.""",AChah,Dispassion,Cessation,,,,,,,,,,,
2,Fragment,,,,,,,,,,,,,,,,,,
