Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Questions and Answers about Ajahn Chah,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,ChahQA2025,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Amaravati Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,17/06/2025,,,,,,,,,,,,,,,,,,
End date,18/06/2025,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Ajahn Chah,,,,,,,,,,,,,,,,,,
Website,https://amaravati.org/audio/questions-and-answers-on-ajahn-chahs-life-and-teaching-part-1/,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno answers written questions from the Amaravati Community about the life and teachings of Ajahn Chah.,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,26,,,,,,,,,,,,,,,,,,
Tags applied,230,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,2:46:57,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,17/06/2025,Amaravati_2025_0617_Ajahn_Pasanno_-_Questions_and_Answers_on_Ajahn_Chah_s_Life_and_Teaching_p.1-2.mp3,1:27:39,AP,,https://cdn.amaravati.org/wp-content/uploads/2025/04/11/Amaravati_2025_0617_Ajahn_Pasanno_-_Questions_and_Answers_on_Ajahn_Chah_s_Life_and_Teaching_p.1-2.mp3,11,Ajahn Chah,,,,5259,,,,,,,
2,18/06/2025,Amaravati_2025_0618_Ajahn_Pasanno_-_Questions_and_Answers_on_Ajahn_Chah_s_Life_and_Teaching_p.2-1.mp3,1:19:18,AP,,https://cdn.amaravati.org/wp-content/uploads/2025/04/11/Amaravati_2025_0618_Ajahn_Pasanno_-_Questions_and_Answers_on_Ajahn_Chah_s_Life_and_Teaching_p.2-1.mp3,15,Ajahn Chah,,,,4758,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,1:08,8:04,What distinguished Ajahn Chah from other meditation teachers?,,Teaching Dhamma,,,,Meditation/Techniques,Right View,Monastic life,,,,,,
1,Follow-up,,,,Did this inspire the way you teach?,,Ajahn Chah,Ajahn Pasanno,Teaching Dhamma,,,,,,,,,,
1,,,8:13,11:54,How did Ajahn Chah react to students who had studied in other Buddhist traditions?,,Teaching Dhamma,Spiritual traditions,,,Ajahn Sumedho,Master Hsu Yun,Hua tou,Zen,Right Effort,,,,
1,,,12:03,16:10,It is said that each monk who know Ajahn Chah well would describe him in a different way when asked. How would you describe him?,,Ajahn Pasanno,,,,Personality,Personal presence,Compassion,,,,,,
1,Quote,,,,"You never quite knew which Ajahn Chah you were going to get, which always kept you on your toes. And if you weren't on your toes, it wouldn't take long before he would call you on it.",,Ajahn Chah,Personality,Teaching Dhamma,Clear comprehension,,,,,,,,,
1,,,16:22,27:08,What advice would you give to future abbots and teachers of Wat Pah Pong branch monasteries so that the communities maintain the most important characteristics of Ajahn Chah's style of leadership?,,Abbot,Ajahn Chah monasteries,Saṅgha,Leadership,Dhamma,Vinaya,Chanting,Translation,,,,Leadership,200T
1,Sutta,,,,DN 16.6: Dhamma-Vinaya is your leader.,,Dhamma,Vinaya,,,,,,,,,,,
1,Quote,,,,"Ajahn Chah was conservative, but he wasn't fundamentalist.",,Ajahn Chah,Leadership,Monastic life,,,,,,,,,,
