Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Kathina Q&A with the Chithurst Community,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Chithurst2025-2,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Cittaviveka Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,11/10/2025,,,,,,,,,,,,,,,,,,
End date,12/10/2025,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/9018-qa-on-chithurst-kathina-2025,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno spent Kaṭhina weekend at Chithurst and hosted two Q&A sessions.,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,4,,,,,,,,,,,,,,,,,,
Tags applied,13,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:34:57,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,11/10/2025,QAonChithurstKathina2025_LPP_10.11.2025.mp3,55:37,AP,,https://www.abhayagiri.org/media/audio/2025/Special%20Events%202025/LPP%20Q%26A%20in%20England/QAonChithurstKathina2025_LPP_10.11.2025.mp3,0,,,,,3337,,,,,,,
2,12/10/2025,Kathina 2025 Luang Por Pasanno 12 Oct 25.mp3,39:20,AP,,,4,,,,,2360,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:00,1:34.5,"After more than 50 years, is the practice getting easier?",,Long-term practice,Ajahn Pasanno,,,Mindfulness,Happiness,,,,,,Long-term practice,90
1,,,1:34.5,5:38,Could you offer some reflections on experiencing mind as mind in the Noble Eightfold Path?,,Eightfold Path,Chanting,Chithurst,Amaravati,Noting,Ajahn Ṭhānissaro,Nature of mind,Knowing itself,,,,,
1,Extra tags,,,,,,Mindfulness of mind,,,,,,,,,,,,
1,Reference,,,,Chanting Book p. 97.,,,,,,,,,,,,,,
1,Sutta,,,,MN 10.34: Mindfulness of mind.,,,,,,,,,,,,,,
1,Follow-up,,,,"Does this relate to Luang Por Dune's reformulation of the Four Noble Truths where it says, 'The mind seeing the mind?'",,Ajahn Dune,Four Noble Truths,Mindfulness of mind,,,,,,,,,,
1,Reference,,,,Gifts He Left Behind p. 3.,,,,,,,,,,,,,,
1,Indirect quote,,,,An inward-staying unentangled knowing.|Upasikā Kee Nanayon,,Upasikā Kee Nanayon,Knowing itself,,,,,,,,,,,
1,Main fragment,,2:05.5,5:38,,,Eightfold Path,Right Mindfulness,Mindfulness of mind,,Noting,Ajahn Ṭhānissaro,Nature of mind,Knowing itself,,,,Mindfulness of mind,120
1,,,5:40,9:47,Could you speak about the practice of being mindful of craving and allowing it to pass?,,Unskillful qualities,Mindfulness,Craving,Cessation,Hindrances,Relinquishment,Recollection/Dhamma,Faith,Memory,,,,
1,Quote,,,,"If we don't understand the obstacle, we can't be free from it.",,Discernment,Liberation,,,,,,,,,,,
1,Indirect quote,,,,You've got to be really careful because the mind is a liar and a cheat.|Ajahn Chah,,Ajahn Chah,Nature of mind,Heedfulness,,,,,,,,,,
1,,,9:47,12:25.5,What practice would you recommend if you are too serious with your thinking?,,Delusion,,,,Hindrances,Heedfulness,Heedlessness,Cessation of Suffering,,,,,
1,,,12:29,19:02,"It seems like I'm using physical tension to block out emotion. When I try to put my attention on it, the mind goes blank or starts thinking about work. I don't know what I'm avoiding. Any suggestions?",,Pain,Emotion,,,Mindfulness of body,Mindfulness of breathing,Concentration,Translation,Spaciousness,,,Emotion,160
1,Extra tags,,,,,,,,,,Body scanning,,,,,,,,
1,,,19:03,20:37,How did you learn Pāli syntax?,,Pāli,Ajahn Pasanno,Learning,,,,,,,,,,
1,,,20:37,21:41,"The Second Noble Truth, sumudaya—do you know it as arising of suffering or origin of suffering or does it matter?",,Cause of Suffering,,,,Craving,,,,,,,Cause of Suffering,100
1,Sutta,,,,"SN 56.11.4: Dhammacakkappavattana Sutta ([Chanting book translation](Chanting Book V2 p. 4)): ""ever seeking fresh delight.""",,,,,,,,,,,,,,
1,,,21:42,23:12,The Buddha had a quality of fearlessness. How can we understand fearlessness?,,Buddha,Fear,,,Non-identification,Not-self,Self-identity view,Suffering,,,,Fear,120
1,Quote,,,,"The core of fearlessness is not having a self, an I, a me, a mine that it's trying to protect.",,Fear,Non-identification,,,,,,,,,,,
1,,,23:18,,Could you say something about the name-and-form step in Dependent Origination?,,Aggregates,Dependent origination,,,Heart/mind,Body/form,Self-identity view,Human,Realms of existence,,,Aggregates,90
1,Sutta,,,,MN 43.9: Conjoined not disjoined.,,,,,,,,,,,,,,
1,,,25:58,32:48,How do we recognize when we're being taken advantage of when we're trying to offer compassion? How do we draw a line to maintain our compassion without it impeding?,,Abuse/violence,Compassion,,,Discernment,Ajahn Chah,Fierce/direct teaching,,,,,Compassion,170P
1,Sutta,s,,,SN 22.86.13; MN 22.37.,,,,,,,,,,,,,,
1,Fragment,,29:56.4,31:02,,,,,,,,,,,,,,,
1,Reflection,,,,"The qualities of the Buddha: wisdom, compassion, purity.",,Recollection/Buddha,Arahant,Discernment,Compassion,Pūjā,,,,,,,Recollection/Buddha,90
1,Reference,-,,,Chanting Book p. 3: Homage to the Buddha.,,Recollection/Buddha,,,,,,,,,,,,
1,Story,,,,A person asks the same question four times.,,Questions,,,,,,,,,,,,
1,,,32:48,36:53,"Luang Por Sumedho describes sati-sampajañña as intuitive awareness. But contemplating the four aspects of sampajañña (purpose, suitability, etc.) engages the logical, thinking mind. If these arise intuitively, it's wonderful, but to cultivate them, I think a lot.",,Ajahn Sumedho,Clear comprehension,Intuition,Directed thought and evaluation,Mindfulness,Translation,Bhante Sujato,Ajahn Ṭhānissaro,,,,Clear comprehension,170T
1,,,37:00,42:43,"When someone opens up about issues or something difficult they are dealing with, when should one just listen and when should one say something that might help?",,Listening,Right Speech,Compassion,,Spiritual friendship,Trust,Virtue,Goodwill,Admonishment/feedback,,,Listening,150
1,Extra tags,,,,,,,,,,Ajahn Pasanno,Abbot,Ajahn Chah,,,,,,
1,,,42:43.5,45:46,How does the practice of patience fit into the Noble Eightfold Path? How is patience the incinerator of defilements?,,Patience,Eightfold Path,Unwholesome Roots,,Perfections,Suffering,Self-identity view,Worldly Conditions,,,,Patience,80
1,Reference,,,,Ovāda Pātimokkha: Dhp 183-185 ([Chanting book translation](Chanting Book p. 79)).,,,,,,,,,,,,,,
1,,,45:49.5,51:06,"Sometimes we hear that with practice, some qualities change, but other qualities don't change very much over a long time of practice. When I read certain biographies [of Buddhist teachers], it seems like certain rough qualities can remain even though the mind is pure. How to know the difference in oneself and others?",,Long-term practice,Personality,Teachers,Fierce/direct teaching,Suffering,Unwholesome Roots,Relinquishment,Hindrances,,,,Personality,90
1,Extra tags,,,,,,Unskillful qualities,,,,,,,,,,,,
1,Recollection,0,,,{teachers} describes the personality of great teachers he has met.,,Personality,Ajahn Mahā Boowa,Ajahn Tate,Ajahn Dune,Ajahn Chah,,,,,,,,
1,Fragment,,49:47,50:46.5,,,,,,,,,,,,,,,
1,Reflection,,,,"The arahant disciples of the Buddha were able to free their minds, but they all had different personalities.",,Arahant,Buddha,Great disciples,Personality,,,,,,,,Great disciples,100
1,Sutta,-,,,SN 14.15 Caṅkama Sutta: Monks with different personalities gather around the great disciples.,,,,,,,,,,,,,,
1,Note,--,,,"Ajahn Pasanno mentions the similarly-themed Cūḷagosiṅga Sutta (MN 31) by name, but describes the content of the Caṅkama Sutta.",,,,,,,,,,,,,,
1,,,51:07,55:12.8,"Is it ever acceptable to put a life out of suffering, for example when it's dying and suffering slowly?",,Euthanasia,Killing,Death,Pain,Compassion,Unattractiveness,,,,,,Killing,150
1,Extra tags,,,,,,Animal,,,,,,,,,,,Euthanasia,150
1,Story,,,,Ajahn Pasanno and others look after a Brahma bull that was attacked by a tiger until it dies.,,Ajahn Pasanno,Animal,Health care,Death,Dtao Dum,Compassion,,,,,,,
2,,,33:19.8,34:32,What does letting go feel like?,,Relinquishment,,,,Clinging,Happiness,,,,,,,
2,,,34:42,36:27,Is renunciation like surrender?,,Renunciation,Relinquishment,,,,,,,,,,,
2,Indirect quote,,,,"You let go a little, you get a little peace. You let go a lot, and you get a lot peace. Let go completely, and you get complete peace.|Ajahn Chah",,Relinquishment,Tranquility,,,,,,,,,,,
2,,,36:30,37:00,"Can renunciation be practiced in three aspects: material, speech and mind?",,Renunciation,Relinquishment,,,Right Speech,,,,,,,,
2,,,37:01,37:49,"Luang Por Chah's teaching, ""Not go forward, not go backward, not stand still;"" is this like empty?",,Ajahn Chah,Emptiness,,,Relinquishment,,,,,,,,
