Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Q&A with the Chithurst Community,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Chithurst2025,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Cittaviveka Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,30/08/2025,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/8975-qa-with-chithurst-community,,,,,,,,,,,,,,,,,,
Description,A series of questions and answers with monastics and lay supporters at Chithurst Monastery in West Sussex.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,12,,,,,,,,,,,,,,,,,,
Tags applied,107,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,53:36,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,30/08/2025,QAWithChithurstCommunity_LPP_07.30.2025.mp3,53:36,AP,,https://www.abhayagiri.org/media/audio/2025/Special%20Events%202025/LPP%20Q%26A%20in%20England/QAWithChithurstCommunity_LPP_07.30.2025.mp3,12,,,,,3216,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,0:00,3:40,"What are the options for practicing with getting older, getting weaker, physically and mentally less resilient?",,Ageing,,,,Relinquishment,Death,Not-self,,,,,,
0,Main fragment,,0:00,1:15,,,,,,,,,,,,,,Ageing,100
0,Discussion,,,,of the natural environment at Chithurst and Amaravati.,ACittapala;AP,Culture/Natural environment,Chithurst,Amaravati,Weather,,,,,,,,,
0,,,3:42,9:58,"How to find a good balance between personal individual practice and helping the community? How have you practiced with this yourself, having had the role of abbot for such a long time?",,Meditation,Service,Ajahn Pasanno,Abbot,Seclusion,Restlessness and worry,Ajahn Sumedho,Idealism,Becoming,,,Seclusion,160
0,Extra tags,,,,,,,,,,Craving not to become,Monastic routine,,,,,,,
0,Quote,,,,You really have to learn how to step back from your own mind and give attention to that sense of solid connection with the Dhamma practice.,,Seclusion,Dhamma,,,,,,,,,,,
0,Quote,,,,"If we don't really develop a sense of giving and sharing and lovingkindness and compassion, any amount of meditation that you do never really comes to much fruition.",,Generosity,Goodwill,Meditation,,,,,,,,,,
0,,,9:58.5,17:23.5,People often say that Amaravati is like an institution. What is a perspective on this?,,Amaravati,Saṅgha,Monastery organizational structure,,Ajahn Pasanno,,,,,,,Amaravati,150
0,Reflection,,,,The benefits and drawbacks of large monasteries.,AP;AAh;AKaruniko,Mutual lay/Saṅgha support,Teaching Dhamma,Christian monastics,Wat Pah Nanachat,Spiritual traditions,,,,,,,,
0,Indirect quote,,,,"You don't have to worry, Dad. Buddhism in Thailand isn't organized.|Ajahn Siripañño",,Ajahn Siripañño,Culture/Thailand,,,,,,,,,Pending,,
