Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Abhayagiri Kaṭhina 2021,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Kathina2021,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AA;ANy,,,,,,,,,,,,,,,,,,
Start date,02/11/2021,,,,,,,,,,,,,,,,,,
End date,07/11/2021,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Kaṭhina,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/news/369-abhayagiri-kathina-2021,,,,,,,,,,,,,,,,,,
Description,Abhayagiri Monastery spread the 2021 Kaṭhina festival over a period of seven days to accommodate the necessities of the pandemic. Question and answers were recorded on days two and four.,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,9,,,,,,,,,,,,,,,,,,
Tags applied,81,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,39:11,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,03/11/2021,2021-11-03 Questions and Answers with the Ajahns.mp3,19:57,AP;AA;ANy,Questions and Answers with the Ajahns,https://www.abhayagiri.org/media/audio/2021-11-03%20Kathina%20Day%202%20Questions%20and%20Answers..mp3,5,,,,,1197,,,,,,,
2,05/11/2021,2021-11-05 Practical Questions and Answers.mp3,19:14,AP,Practical Questions and Answers,https://www.abhayagiri.org/media/audio/20211105%20Kathina%20Day%204%20LPP%20Q%26A%20%28English%29Cu%20edit.mp3,4,,,,,1154,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:05,,"The reflection on kamma (Chanting Book p. 55) uses language related to family: 'born,' 'heir,' 'related', 'supported.' What are the implications of this?",AP,Kamma,Family,Language,,Community,Perception,,,,,,,
1,,,2:21,,I have a family and family responsibilities. How do I know I'm on the path and making right effort?,AP;ANy,Family,Right Effort,Doubt,,Four Noble Truths,Culture/West,Mindfulness of feeling,Direct experience,,,,,
1,,a,6:30,,How do I know what is the Middle Path?,AP;AA;ANy,Middle Path,,,,Four Noble Truths,Direct experience,,,,,,,
1,Quote,,,,It's not a concept. It's like are you on your bike or are you on the ground?,AA,Direct experience,,,,,,,,,,,,
1,Question,,8:31,11:00,You spoke about the teachings and the training. What is the training for a lay practitioner other than the Five Precepts?,AP;AA,Dhamma,Vinaya,Lay life,Five Precepts,Meditation,Communal harmony,Right Livelihood,Family,Work,,,,
1,Extra tags,,,,,,,,,,Politics and society,Spiritual friendship,,,,,,,
1,,,11:11,19:46,Could you speak more about how to prevent feelings from becoming aversion or desire? How does this relate to Dependent Origination?,AA,Feeling,Aversion,Craving,Dependent origination,Arahant,Buddha,Pain,Mindfulness,Birth,,,,
1,Extra tags,,,,,,,,,,Impermanence,Happiness,Direct experience,Proliferation,Master Hsuan Hua,,,,
1,Story,,,,Ajahn Pasanno breaks his pelvis in Thailand.,,Ajahn Pasanno,Pain,,,,,,,,,,,
2,Comment,,0:09,8:18,"I listen to the talks and read the books, and everything is so logical and rational, but I'm still stuck in habitual patterns of living.",,Hearing the true Dhamma,Dhamma books,Everyday life,Habits,,,,,,,,,
2,Response,,,,,,Association with people of integrity,Community,Monasteries,Lunar observance days,Online community,Chanting,Spiritual friendship,Impermanence,Monastic life/Motivation,,,,
2,Extra tags,,,,,,Generosity,,,,,,,,,,,,
2,Quote,,,,"When you're living with a group of people, not everybody is depressed and lazy and fed up at the same time.",,Community,Unwholesome Roots,Impermanence,,,,,,,,,,
2,Sutta,,,,SN 55.5 Sāriputta,,Factors for stream entry,,,,,,,,,,,,
2,,,8:21,,"Early on in practice, I learned that practicing sīla (virtue) leads to the bliss of the blamelessness life and creates the conditions for samādhi. What is the Pāli word that translates to 'the bliss of the blameless life?'",,Virtue,Merit,Happiness,Concentration,Right Livelihood,Generosity,Right Intention,,,,,Virtue,140
2,Extra tags,,,,,,Pāli,,,,,,,,,,,Happiness,130
2,Edited audio,,,,Kathina2021_S02_F02.mp3,,,,,,,,,,,,,,
2,Quote,,,,Sīla is the opportunity to rise up to a life of integrity.,,Virtue,,,,,,,,,,,,
2,Comment,,14:43,15:38,Sīla (virtue) is like a compass. You know if you're off.,,Virtue,,,,,,,,,,,,
2,Response,,,,,,Suffering,Feeling,,,,,,,,,,,
2,Indirect quote,,,,The language of Dhamma is the language of feeling.|Ajahn Chah,AP,Ajahn Chah,Dhamma,Feeling,,,,,,,,,,
2,Comment,,15:44,,"I'm appreciative of Zoom. It's helpful on many levels, but I'm missing the actual physical presence.",RCenter,Online community,Pandemic,Community,,,,,,,,,,
2,Response,,,,,,Human,Monasteries,,,,,,,,,,,
