Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Madison Insight Retreat 2023,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Madison2023,,,,,,,,,,,,,,,,,,
Series,Other retreats,,,,,,,,,,,,,,,,,,
Venue,Madison Insight,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,13/10/2023,,,,,,,,,,,,,,,,,,
End date,15/10/2023,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://madisonmeditation.org/ajahn-pasanno,,,,,,,,,,,,,,,,,,
Description,A weekend residential retreat organized by Madison Insight held at Pine Lake Retreat Center in rural Wisconsin.,,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,36,,,,,,,,,,,,,,,,,,
Tags applied,307,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,2:54:02,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,13/10/2023,2023-10-13 Madison Insight Retreat 2023 Ajahn Pasanno Day 1 Q+A.mp3,46:20,AP,,https://www.abhayagiri.org/media/talks/2023/WI%20Retreat%20Day%201%20Q%26A_LPP_10_13_2023.mp3,7,,,,,2780,,,,,,,
2,14/10/2023,2023-10-14 Madison Insight Retreat 2023 Ajahn Pasanno Day 2 Q+A.mp3,1:26:47,AP,,https://www.abhayagiri.org/media/talks/2023/WI%20Retreat%20Day%202%20Q%26A_LPP_10_14_2023.mp3,21,,,,,5207,,,,,,,
3,15/10/2023,2023-10-15 Madison Insight Retreat 2023 Ajahn Pasanno Day 3 Q+A.mp3,40:55,AP,,https://www.abhayagiri.org/media/talks/2023/WI%20Retreat%20Day%203%20Q%26A%2010_15_2023.mp3,8,,,,,2455,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,1:12,3:45,"In the dialogue between Ānanda and Sariputta (AN 4.179), could you say more about the reason people don't become enlightened in this lifetime?",,Stages of awakening,,,,,Perception,Conditionality,Progress of insight,,,,,
1,,,4:05,7:39,"Tibetan Buddhism seems to have a stronger emphasis on compassion and emptiness as a practice. Can you talk about this from the perspective of the Ajahn Chah lineage, including steps as to how it is done?",,Vajrayāna,Compassion,Emptiness,Ajahn Chah lineage,Ajahn Chah,Eightfold Path,,,,,,,
1,Indirect quote,u,,,"""What is the mind of an Arahant like?"" – ""Only compassion""|Ajahn Mahā Boowa",,Ajahn Mahā Boowa,Arahant,Compassion,,,,,,,,,,
1,,,7:50,12:08,Can you expand more on the seeing through of vipassanā?,,Insight meditation,,,,Characteristics of existence,Conditionality,,,,,,Insight meditation,90
1,,,12:26,17:37,Please speak about sense consciouness and how the release of attachment is acheived.,,Sense bases,Consciousness,Clinging,Relinquishment,Delusion,Insight meditation,Knowledge and vision,Feeling,Contact,,,,
1,Extra tags,,,,,,,,,,Drawbacks,Compassion,,,,,,,
1,Indirect quote,,,,Dhamma practice is not difficult. There are only two things you need to do: know and let go.|Ajahn Chah,,Ajahn Chah,Dhamma,Knowledge and vision,Relinquishment,,,,,,,,,
1,,,18:20,27:24,How does one know the difference between appropriate grieving and honoring the memory of a beloved versus clinging and attachment?,,Grief,Clinging,,,Cause of Suffering,Self-identity view,Spiritual urgency,,,,,Grief,90
1,Recollection,,,,Grieving for Ajahn Chah.,,Grief,Ajahn Chah,Ajahn Pasanno,Recollection/Saṅgha,Spiritual urgency,,,,,,,,
1,Quote,,,,It's that personalization of experience that gets us into trouble over and over again in different ways.,,Self-identity view,Suffering,Cause of Suffering,,,,,,,,,,
1,,,27:31,31:41,Could you give a Dhamma talk about the Five Aggregates?,,Aggregates,,,,Cause of Suffering,Form,Feeling,Perception,Volitional formations,,,,
1,Extra tags,,,,,,,,,,Consciousness,,,,,,,,
1,Simile,,,,A dog tied to a post (SN 22.100).,,Similes,Aggregates,Self-identity view,,,,,,,,,,
1,,,32:09,46:12,"I'm a mother to four kids, one of whom has special needs. I'm lucky if I can meditate 10-15 minutes a day. Are there practices one can do when one is frequently around little ones?",,Children,Meditation/General advice,,,Posture/Sitting,Three Refuges,Precepts,Recollection/Virtue,Recollection/Generosity,,,Children,120
1,Extra tags,,,,,,,,,,Gladdening the mind,Mindfulness of body,Clear comprehension,,,,,,
1,Commentary,,,,Path of Purification p. 104: Forty subjects of meditation.,,,,,,,,,,,,,,
1,Story,0,,,Sri Lankan Buddhists keep a book of good deeds which is read near the time of death.,,Culture/Sri Lanka,Merit,Death,Recollection/Virtue,,,,,,,,,
1,Story,,,,Debbie Stamp served as primary caregiver to her father during the pandemic.,,Debbie Stamp,Parents,Pandemic,,,,,,,,,,
2,,,0:33,4:54,"By moving to lovingkindness [meditation], I may be missing some of the deeper insights and wisdom that are present in feelings of angher, ill-will, and resentment. I think this is what is referred to as spiritual bypassing. Can you speak to this distinction or provide suggestions for accessing the wisdom that may be present within or underneath the hindrances?",,Goodwill,Aversion,Ill-will,Spiritual bypass,Truth,Suffering,Gratification,,,,,Spiritual bypass,100
2,Extra tags,,,,,,Discernment,Hindrances,,,,,,,,,,,
2,Quote,,,,"Sensual desire is just trying to get a relief from suffering. Even anger and ill-will...and the same with all the rest of the hindrances. They are looking for some relief from suffering in some way, shape, or form.",,Sensual desire,Suffering,Hindrances,,,,,,,,,,
2,,,5:00,6:45,Would you speak about your response to the events in Israel and Gaza?,,Conflict,Politics and society,,,Grief,Human,Suffering,Idealism,,,,,
2,Quote,,,,The world has been a sad place for a long time.,,Nature of the cosmos,Grief,Suffering,,,,,,,,,,
2,,,6:50,14:31,Could you please elaborate on how you generate the images and feelings of metta? My metta practice phrases always seem a bit dry.,,Goodwill,,,,Commentaries,Heart/mind,Visualization,Nimitta,Bhante Gunaratana,,,Goodwill,100
2,,,14:46,20:24,I have trouble maintaining wakefulness and alertness in the afternoon. What guidance would you give to cultivate more skillfulness?,,Sloth and torpor,Devotion to wakefulness,,,Buddho mantra,Recollection,Unattractiveness,Posture/Walking,Posture/Standing,,,,
2,,,22:11,29:41,"I have had many losses over the year, and both my parents passed away six years ago. I found that taking refuge in the Buddha, Dhamma, and Saṅgha, keeping the precepts, and having daily meditation practice helps. There is peacefulness and gratitude. I have heard that if one wants to share merits with the deceased, one could. What is the proper way? Could you give some guidance?",,Death,Grief,Parents,Merit,Recollection/Virtue,Goodwill,Translation,Three Refuges,Precepts,,,Merit,100
2,Extra tags,,,,,,,,,,Generosity,Happiness,,,,,,,
2,Sutta,,,,"Iti 22: ""Do not be afraid of puñña.""",,Merit,Happiness,,,,,,,,,,,
2,Quote,,,,Puñña is accomplished through the heart itself.,,Merit,Heart/mind,Cultural context,,,,,,,,,,
2,Indirect quote,,,,A spark of merit is worth more than a mountain of effort.|Tibetan saying,,Merit,Vajrayāna,Self-identity view,,,,,,,,,,
2,,,30:15,31:05,"In practicing mindfulness day-to-day, which category of mindfulness is most important at varying times? Body, feelings, mind, or dhammas?",,Mindfulness,Everyday life,Right Mindfulness,,Continuity of mindfulness,,,,,,,,
2,,,31:23,33:53,"Upon awakening one morning, I found my mind was locked open in awareness. It seems this was stable as long as I did not do any conceptual thinking. Is this a feature of samādhi? Can it be cultivated?",,Meditation/Unusual experiences,Present moment awareness,Spaciousness,Concentration,Right Concentration,Mindfulness,,,,,,,
2,,,34:05,37:09,"Can you offer practical advice for working with hindrances and cultivating sīla without taking it personally, that is, trying to perfect the personality?",,Hindrances,Virtue,Self-identity view,,Dhamma,Relinquishment,,,,,,,
2,Indirect quote,,,,_Kae nun lae_ (Thai) – It's just this much.|Ajahn Chah,,Ajahn Chah,Suchness,,,,,,,,,,,
2,,,37:28,41:16,Please offer your thoughts on how to cultivate the brahmavihāras on and off the cushion.,,Divine Abidings,Everyday life,,,Spaciousness,Goodwill,Compassion,Empathetic joy,Equanimity,,,Divine Abidings,100
2,Extra tags,,,,,,,,,,Generosity,,,,,,,,
2,Indirect quote,0,,,Ajahn Vajiro defined the brahamavihāras as the mature emotions.,,Ajahn Vajiro,Divine Abidings,Emotion,,,,,,,,,,
2,,,41:40.4,45:58,"What are the words or practices to develop equanimity? In this difficult, divisive period, it's helpful to have as much non-ill-will as possible.",,Equanimity,Conflict,Goodwill,,News,Kamma,Conditionality,,,,,Equanimity,120
2,Quote,,,,[News] is not there to inform you. It's there to create a reaction....Their job is to try to get click baits.,,News,Internet,Advertizing,,,,,,,,,,
2,,,46:12,51:06,Can you be a Buddhist and yet an I-don't-know agnostic about reincarnation?,,Buddhist identity,Rebirth,Atheism/agnosticism,,Faith,Merit,Kamma,,,,,Rebirth,120
2,Sutta,,,,MN 60: The Safe Bet,,,,,,,,,,,,,,
2,,,51:22,53:25,How does one navigate choices and self-advocacy and also equanimity? I often find myself feeling relatively content yet defaulting slightly to people-pleasing and being quiet to get along.,,Equanimity,Non-contention,Blame and praise,,Discernment,,,,,,,,
2,,,53:44,55:04,I am in a challenging situation at work and thinking of moving to a different position. How can I tell whether this is skillful or unskillful?,,Work,Discernment,,,Spiritual friendship,,,,,,,,
2,,,55:18,58:32,The world looms large. This is the source of most of my turmoil. How does one see all this strife as neutral when we know that the damage to the world is so great? How do we maintain acceptance when our children and grandchildren will suffer?,,Conflict,Politics and society,Environment,Equanimity,Right Effort,Community,,,,,,,
2,,,58:36,1:00:30,Any suggestions for managing dizziness or nausea from the energy on retreat? I'm feeling a little overwhelmed today.,,Meditation retreats,Health,,,Posture/Lying down,Posture/Walking,Goodwill,Mindfulness of body,,,,,
2,,,1:01:45,1:07:47,How does one reconcile perceived imperfections and unskillful behaivor in Buddhist institutions and interactions with teachers?,,Unskillful qualities,Teachers,,,Monasteries,Monastic life,Admonishment/feedback,Blame and praise,,,,,
2,Quote,,,,The Buddha set up an institution that was not assuming infallability.,,Buddha,Lay life,Human,,,,,,,,,,
2,Sutta,,,,Dhp 227: Nobody lives without criticism.,,Blame and praise,,,,,,,,,,,,
2,,,1:07:52,1:10:00,"Fifty vassas! Highs, lows? What are you contemplating these days?",,Ajahn Pasanno,Monastic life,,,Dhamma,Abbot,Mentoring,Ajahn Chah,,,,,
2,,,1:10:08,1:14:20,Can you talk about fear as a cause of dukkha and how to work with it?,,Fear,Suffering,,,Unwholesome Roots,Abhidhamma,Delusion,Mindfulness of body,Continuity of mindfulness,,,Fear,100
2,Extra tags,,,,,,,,,,Biases,,,,,,,,
2,Quote,,,,"In terms of personality, [fear] was my go-to option.",,Ajahn Pasanno,Personality,Fear,,,,,,,,,,
2,,,1:14:35,1:16:55,"When one moves through the world with compassion and lovingkindness, how does one avoid feeling depleted? In a world of 'individuals,' most take more than they give and to always be giving can be exhausting.",,Compassion,Goodwill,Selfishness,Generosity,Not-self,Four Noble Truths,Cause of Suffering,,,,,,
2,Extra tags,,,,,,Depression,,,,,,,,,,,,
2,Quote,,,,"When we are attentive to freedom from suffering, there's an inexhaustible well of goodness there.",,Cessation of Suffering,Skillful qualities,,,,,,,,,,,
2,,,1:17:25,1:22:24,"I wake remembering dreams my dreams often and at times in the dream I know that I am dreaming. There are interesting aspects to this, but also at times I find it intense or tiring. Meditation before bed seems to intesify this. Suggestions?",,Dreams,,,,Clear comprehension,Relinquishment,Mindfulness,,,,,Dreams,100
2,Story,,,,Ajahn Pasanno's Tibetan doctor insists he needs more sleep.,,Ajahn Pasanno,Health care,Devotion to wakefulness,Ageing,,,,,,,,,
2,,,1:23:32,1:26:42,My husband died 10 years ago. There was sadness but also relief that his journey was over and sadness and relief for myself. I can still hear his advice regarding my medications. Is this clinging? He lives in my heart. What do you do with memories and teachings yourself?,,Family,Death,Grief,Memory,,,,,,,,,
2,Extra tags,,,,,,Clinging,,,,,,,,,,,,
2,Recollection,,,,I still hear Ajahn Chah's voice.,,Ajahn Pasanno,Ajahn Chah,Dreams,Ajahn Mahā Boowa,,,,,,,,,
3,Other,,0:26,2:03,Ajahn Pasanno mentions the Question and Story Archive.,AP,Questions,Ajahn Pasanno,Abhayagiri,Dhamma online,,,,,,,,,
3,Extra tags,,,,,,Ajahn Kaccāna,,,,,,,,,,,,
3,,,2:13,4:44,"When I go inward, I don't feel or experience brightness. Instead it/I feel heavy. How can I get to that brightness?",,Sloth and torpor,Gladdening the mind,Rapture,,Relinquishment,Hindrances,Devotional practice,,,,,,
3,,,5:07,7:05,"When one is caught in depression or negativity, how can one brighten or uplift the mind?",,Depression,Gladdening the mind,,,Generosity,Virtue,Idealism,,,,,Depression,100
3,,,7:18,22:54,Would you be willing to share memories of Ajahn Chah?,,Ajahn Chah,,,,Ajahn Pasanno,Temporary ordination,Personality,Not-self,Equanimity,,,Ajahn Pasanno,110
3,Indirect quote,0,,,"When asked about the core essence of the Buddha's teachings, Ajahn Chah replies, ""Is this a big stick or a little stick?""",,Ajahn Chah,Teaching Dhamma,Conventions,Cause of Suffering,,,,,,,,,
3,Story,,,,Ajahn Chah pretends to forget simple questions in order to embarass his translator.,,Ajahn Chah,Ajahn Pasanno,Forest versus city monks,Media,Aversion,Questions,Translation,Similes,Personality,,,,
3,Recollection,,,,"Ajahn Pasanno writes to his family that he's staying in Thailand because Ajahn Chah is peaceful, solid, clear, and unshakeable in the midst of all that's going on around him.",,Ajahn Pasanno,Family,Ajahn Chah,Tranquility,Clear comprehension,Equanimity,,,,,,,
