Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Tea Time Q&A with Ajahn Pasanno,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Manijeh2021,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,16/05/2021,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/7629-manijeh-motaghys-group-tea-time-qa-with-luang-por-pasanno,,,,,,,,,,,,,,,,,,
Description,Manijeh Motaghy facilitates a question and answer session on Zoom with Venerable Ajahn Pasanno regarding how to use the Buddha’s teachings to relieve the stress of life.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,9,,,,,,,,,,,,,,,,,,
Tags applied,95,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,59:04,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,16/05/2021,2021-05-16 Manijeh Motaghy's group - Tea time Q&A with Luang Por Pasanno.mp3,59:04,AP,,https://www.abhayagiri.org/media/audio/LPP-%20Manijeh%27s%20group%20q%26a.mp3,9,,,,,3544,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,0:33,22:27,You have so much community-building experience. Can you talk about what you have found challenging or effective in this? How did Ajahn Chah build community?,,Community,Ajahn Pasanno,Ajahn Chah,,Saṅgha,Practicing in accordance with Dhamma,Virtue,Trust,Communal harmony,,,,
0,Extra tags,,,,,,,,,,Compassion,Culture/Thailand,,Ajahn Chah lineage,,,,,
0,Extra tags,,,,,,,,,,Recollection/Saṅgha,Sequence of training,Wat Pah Nanachat,Abhayagiri,Eightfold Path,,,,
0,Extra tags,,,,,,,,,,Learning,,,,,,,,
0,Sutta,,,,MN 48: Kosambiya Sutta,,Principles of Cordiality,Goodwill,Generosity,Virtue,,,,,,,,,
0,Extra tags,,,,,,Right View,,,,,,,,,,,,
0,Story,,,,"Ajahn Pasanno pays respects to Ajahn Chah: ""If you want to stay here, you have to stay at least five years.""",,Ajahn Chah,Ajahn Pasanno,Sequence of training,,,,,,,,,,
0,Quote,,,,"The whole path of the Buddha is a path of learning, of education.",,Eightfold Path,Learning,,,,,,,,,,,
0,,,23:35,,"How to balance the tension between the warrior energy (taking action), the awareness of the perfection of all that is, and the weariness and humility that leads through this?",,Right Effort,Present moment awareness,Disenchantment,,Suffering,Discernment,Fear,Human,Gladdening the mind,,,,
0,Extra tags,,,,,,,,,,Aversion,Recollection,Nature of mind,Tranquility,,,,,
0,Sutta,,,,AN 1.296-305: The Ten Recollections,,Recollection,,,,,,,,,,,,
0,Quote,,,,The happy mind is easily settled.,,Happiness,Concentration,,,,,,,,,,,
0,,,34:45,,Please offer ideas on ways Dhamma meditation communities can strike a balance between beginners and experienced meditatiors.,,Meditation groups,Teaching Dhamma,Lay teachers,Long-term practice,Generosity,Cleanliness,,,,,,,
0,,,37:56,40:58,"Our community is mostly virtual. Since we're not together taking care of a shared environment, can you suggest other ways of building community?",,Community,Online community,,,Dhamma discussion,,,,,,,Online community,200
0,,,41:00,45:21,How to reach the state of peace and serenity when we're just human beings and we strive to be good people?,,Tranquility,Equanimity,Human,Virtue,Happiness,Generosity,Association with people of integrity,Hearing the true Dhamma,Hindrances,,,,
0,Sutta,,,,DN 2: Sāmaññaphala Sutta - Fruits of the Holy Life,,,,,,,,,,,,,,
0,Quote,a,,,"When asked about his attainments as a monk,|I'm just really happy about all the things I didn't do.|",,Ajahn Pasanno,Stages of awakening,Monastic life,Virtue,Sense restraint,,,,,,,,
0,,,45:25,47:44,Are there any mindful techniques that can be used during the transition from the old self to the new high vibrational self?,,Mindfulness,Self-identity view,,,Suffering,Becoming,Relinquishment,,,,,,
0,,,47:53,50:35,Your advice to leaders in the conflicts of 2021 in terms of the leaders themselves and how they can inspire their teams and communities?,,Leadership,Conflict,Community,,Trust,Generosity,Compassion,Listening,Ajahn Chah,,,,
0,Quote,,,,Leadership always comes by example.,,Leadership,,,,,,,,,,,,
0,Quote,,,,[Ajahn Chah] never asked us to do something that he himself wasn't doing.,,Ajahn Chah,Leadership,,,,,,,,,,,
0,,,50:52,55:43,Any advice to guide me after retirement? How to get rid of the fear of death?,,Ageing,Fear,Death,,Happiness,Merit,Generosity,Virtue,Meditation,,,,
0,Extra tags,,,,,,,,,,Mindfulness,,,,,,,,
0,,,55:55,58:46,"Is it true that consciousness, the universal energy in all living organisms, exists within us and outside of us? Is it everywhere?",,Consciousness,Nature of mind,Nature of the cosmos,,Clinging,Proliferation,,,,,,,
