Modified:,2025,,,,,,,,
Full Name,Alphabetize,Alphabetize2,Sort by,Exact date,Known month,Known year,Estimated year,Tweak,Duplicate
,,,,,,,,,
,,,,,,,,,
Amaravati Saṅgha,,,1984.18,,,1984,,,
Abhayagiri Saṅgha,,,1996.18,,,1996,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Mun Bhūridatto,,,1893.18,,,1893,,,
Ajahn Chah Subhaddo,,,1939.106,16 Apr 1939,,,,,
Ajahn Lee Dhammadharo,,,1927.147,27 May 1927,May 1925,,,,
Ajahn Mahā Boowa Ñāṇasampanno,,,1934.132,12 May 1934,,,,,
Ajahn Tong Jan Buddhañāno,,,1978.18,,,,1978,,
Venerable Ñāṇatiloka,,,1904.016,,Jan 1904,,,,
Venerable Ñāṇamoli,,,1950.18,,,1950,,,
Ajahn Sim Buddhacaro,,,1929.197,16 Jul 1929,,1929,,,
P. A. Payutto,"Payutto, P. A.",,1961.205,24 Jul 1961,,,,,
Ajahn Paññāvaḍḍho,,,1965.112,22 Apr 1965,,,,,
,,,,,,,,,
Piyadasi Thera,,,,,,,,,
Ajahn Dick Sīlaratano,,,1977.111,21 April 1977,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Liem Ṭhitadhammo,,,1961.112,22 Apr 1961,,,1961,,
Ajahn Khemadhammo,,,1972.137,,May 1972,,,,
Ajahn Pasanno,,,1974.004,4 Jan 1974,,,,,
Ajahn Ṭhānissaro,,,1976.312,7 Nov 1976,,1976,,,
Ajahn Amaro,,,1979.097,7 Apr 1979,,,,,
Ajahn Jayasaro,,,1980.155,3 Jun 1980,,,,,
Ajahn Yatiko,,,1992.22,7 Aug 1992,,,,,
Ajahn Karuṇadhammo,,,1998.13,10 May 1998,,,,,
Ajahn Jotipālo,,,2000.169,17 Jun 2000,,,,,
Ajahn Ñāṇiko,,,2003.194,13 Jul 2003,,,,,
Ajahn Kassapo,,,2007.195,14 Jul 2007,,,,,
Ajahn Cunda,,,2008.143,22 May 2008,,,,,
Ajahn Kaccāna,,,2008.3,26 Oct 2008,,,,,
Ajahn Kovilo,,,2010.199,18 Jul 2010,,,,,
Tan Jāgaro,,,2016.157,5 Jun 2016,,,,,
Tan Suhajjo,,,2014.173,22 Jun 2014,,,,,
Ajahn Sudhīro,,,2013.169,18 Jun 2013,,,,,
Ajahn Pesalo,,,2012.154,2 Jun 2012,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Jun Indavīro,,,1952.18,,,,1952,,
Ajahn Sinuan,,,1958.18,,,,1958,,
Ajahn Mahā Suporn,,,1962.18,,,,1962,,
Ajahn Mahā Amorn Khemacitto,,,1951.18,,,,1951,,
Ajahn Sumedho,,,1967.133,13 May 1967,,,,,
Ajahn Anek Yasadinno,,,1967.208,27 July 1967,,,1964,,
Ajahn Toon Cattasallo,,,1964.204,22 July 1964,,,1960,,
Ajahn Viradhammo,,,1974.272,29 Sep 1974,,,,,
Ajahn Tiradhammo,,,1974.181,30 Jun 1974,,,,,
Ajahn Piak Kantasīlo,,,1976.1849,3 July 1976,,,,-0.0001,
Ajahn Dtun Thiracitto,,,1978.19,9 July 1978,,,1979,,
