Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Questions and Answers at Wat Pah Nanachat,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Nanachat2025,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Wat Pah Nanachat,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,02/01/2025,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/8838-questions-and-answers-at-wat-pah-nanachat-ajahn-pasanno-in-thailand-2024-2025,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno answers questions from monastics during tea time at Wat Pah Nanachat on January 2, 2025.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,13,,,,,,,,,,,,,,,,,,
Tags applied,122,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,58:29,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,02/01/2025,2025-01-03 Questions and Answers at Wat Pah Nanachat Ajahn Pasanno in Thailand 2024-2025.mp3,58:29,AP,,https://www.abhayagiri.org/media/audio/2025/Special%20Events%202025/LP%20in%20Thailand%202024-2025/QuestionsAndAnswersAtWPN_LPP_01.02.2025.mp3,13,,,,,3509,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,0:00,8:07,What was your experience of Ajahn Chah's personality and character? What was most inspiring about how he conducted himself?,,Ajahn Chah,Personality,Personal presence,,Teaching Dhamma,Admonishment/feedback,Not-self,Equanimity,Humor,,,Ajahn Chah,160
0,Quote,,,,"If you tried to create a CV for what a Bodhisattva should be, Luang Por Chah would fit that bill.",,Ajahn Chah,Bodhisattva,,,,,,,,,,,
0,Story,,,,Ajahn Pasanno chose to stay with Ajahn Chah for five years because he aspired to Ajahn Chah's unshakeability.,,Ajahn Pasanno,Ajahn Chah,Wat Pah Nanachat,Equanimity,,,,,,,,,
