Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,The Path of Practice,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Path2019,,,,,,,,,,,,,,,,,,
Series,Other retreats,,,,,,,,,,,,,,,,,,
Venue,Victoria Insight Meditation Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,15/06/2019,,,,,,,,,,,,,,,,,,
End date,16/06/2019,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/124-the-path-of-practice,,,,,,,,,,,,,,,,,,
Description,A weekend retreat lead by Ajahn Pasanno at the Victoria Insight Meditation Society in June 2019.,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,34,,,,,,,,,,,,,,,,,,
Tags applied,293,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,2:19:05,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,15/06/2019,2019-06-15 The Path of Practice (3of7) - Day 1 Q&A.mp3,1:15:09,AP,,https://www.abhayagiri.org/media/audio/youtube/RPFG7XCMCzs.mp3,20,,,,,4509,,,,,,,
2,16/06/2019,2019-06-15 The Path of Practice (7of7) - Day 2 Q&A.mp3,1:03:56,AP,,https://www.abhayagiri.org/media/audio/youtube/HzmCqu1tUVM.mp3,14,,,,,3836,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:16,,Do you find labelling helpful?,,Noting,Ajahn Pasanno,,,Proliferation,,,,,,,,
1,Simile,,,,The hammer looking for nails everywhere.,,,,,,,,,,,,,,
1,Question,,2:55,6:26,"When I'm following my breathing, sometimes I have a compulsion to breathe deeply into my chest and hold it....Is that something you should recognize as trying to control the breath?",,Mindfulness of breathing,Meditation/Unusual experiences,,,Investigation of states,Tranquility,Learning,,,,,,
1,,,6:37,11:03,You spoke of experiencing the breath and experiencing feelings and mind. Are you suggesting that we experience the mind knowing the breath or when it's doing other things?,,Mindfulness of breathing,Mindfulness of feeling,Mindfulness of mind,,Right Mindfulness,Volitional formations,Conditionality,,,,,,
1,Sutta,s,,,MN 118: Ānāpānasati Sutta; MN 10: Satipaṭṭhāna Sutta,,Mindfulness of breathing,Right Mindfulness,,,,,,,,,,,
1,,,11:08,14:36,"Is the fourth foundation of mindfulness as simple as, for example, with the third foundation I identify aversion, and then in the fourth foundation I identify aversion as a hindrance?",,Mindfulness of dhammas,Mindfulness of mind,,,Āgama,Sutta,Hindrances,Four Noble Truths,Mindfulness of breathing,,,,
1,Extra tags,,,,,,,,,,Progress of insight,,,,,,,,
1,Sutta,s,,,MN 10: Satipaṭṭhāna Sutta; MN 118: Ānāpānasati Sutta,,Right Mindfulness,Mindfulness of breathing,,,,,,,,,,,
1,Reference,,,,_Satipaṭṭhāna Perspectives_ by Bhante Analayo (commercial),,,,,,,,,,,,,,
1,,,14:40,18:53,Could you please address judgement and discernment?,,Judgementalism,Discernment,,,Self-identity view,Skillful qualities,Four Noble Truths,Culture/West,Impermanence,,,Discernment,90
1,Extra tags,,,,,,,,,,Conditionality,,,,,,,,
1,,,18:55,,How do you handle physical sensations like an itch during meditation?,,Meditation/General advice,Contact,,,Mindfulness,Patience,Pain,,,,,,
1,,,21:21,27:06,How do discoveries about the gut microbiome fit in with the Buddha's teachings?,,Science,Dhamma,,,Not-self,Self-identity view,Mindfulness of body,Clear comprehension,Naturalness,,,,
1,Follow-up,,,,"How does the relate to monks who subsist on almsfood and sometimes don't get enough, considering that the gut is controlling the brain?",,Monastic life,Almsfood,Health,Science,Ajahn Soṇa,Mutual lay/Saṅgha support,,,,,,,
1,Sutta,-,,,MN 17: Vanapattha Sutta.,,,,,,,,,,,,,,
1,Story,,27:15,,The cook assigned to look after Ajahn Pasanno doesn't understand what he can and needs to eat.,,Ajahn Pasanno,Dtao Dum,Almsfood,Food,Industry,Meditation,Energy,Health,Patience,,,,
1,Extra tags,,,,,,,,,,Culture/Natural environment,,,,,,,,
1,Story,,32:39,,Founding Dtao Dum Monastery,,Dtao Dum,Ajahn Pasanno,,,Wat Pah Nanachat,Culture/Natural environment,Environment,Commerce/economics,,,,,
1,,,34:59,,Is Dtao Dum just for monks?,,Dtao Dum,Monastic life,Lay life,,Environment,,,,,,,,
1,,,36:52,,Did Ajahn Soṇa go on one of the trips to Dtao Dum with you?,,Ajahn Soṇa,Dtao Dum,Ajahn Pasanno,,,,,,,,,,
1,,,37:21,39:12,"When you weren't getting enough food, had you been older and smarter, would you have been able, as a monk, to ask for vegetables?",,Ajahn Pasanno,Monastic life,Health,Vinaya,Mutual lay/Saṅgha support,Generosity,,,,,,,
1,Extra tags,,,,,,Almsfood,,,,,,,,,,,,
1,,,39:15,,Could you say something about the fact that extreme hardship exists in the world?,,Poverty,Compassion,,,Culture/Thailand,,,,,,,Poverty,180
1,Edited audio,,,,Path2019_S01_F13.mp3,,,,,,,,,,,,,,
1,Sutta,,,,AN 4.162: Modes of Practice,,,,,,,,,,,,,,
1,Sutta,,,,AN 8.2: Worldly Winds,,Worldly Conditions,,,,,,,,,,,,
