Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Following the Path of a Forest Monk,,,,,,,,,,,,,,,,,,
Subtitle,A Treasure Mountain podcast,,,,,,,,,,,,,,,,,,
Code,Podcast2023,,,,,,,,,,,,,,,,,,
Series,Other,,,,,,,,,,,,,,,,,,
Venue,None,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,23/06/2023,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Interview,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,Ajahn Pasanno,,,,,,,,,,,,,,,,,,
Website,https://treasuremountain.stream/episodes/following-the-path-of-a-forest-monk-ajahn-pasanno,,,,,,,,,,,,,,,,,,
Description,Sol Hanna interviews Ajahn Pasanno about his life as a monk for the [Treasure Mountain Podcast](https://treasuremountain.stream/).,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,18,,,,,,,,,,,,,,,,,,
Tags applied,133,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,59:33,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,23/06/2023,2023-06-23 Following the Path of a Forest Monk 2023 Interview with Ajahn Pasanno.mp3,59:33,AP,,https://www.abhayagiri.org/media/audio/AjahnPasanno_interview.mp3,18,Ajahn Pasanno,,,,3573,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,2:48,,What was it like growing up in such an isolated place? Did this influence you towards spiritual or philosophical inquiry from a young age?,,Culture/Natural environment,Spiritual search,,,,,,,,,,,
0,,,4:09,,"After you grew up and went to college, you travelled around the world and ended up in Thailand. What set you off on this journey around the world?",,Travel,,,,Spiritual search,Learning,Zen,,,,,,
0,Follow-up,,,,What attracted you to Thailand?,,Ajahn Pasanno,Culture/Thailand,,,,,,,,,,,
0,,,8:05,10:51,Did you go on a retreat in Thailand? How did you end up ordaining in Bangkok?,,Meditation retreats,Ordination,,,Mahasi Sayadaw,Temporary ordination,,,,,,,
0,,,10:52,,How did it come to be that you ended up with Ajahn Chah? What was it like the first time you met him?,,Ajahn Chah,,,,Determination,Wat Pah Pong,,,,,,,
0,Quote,,,,(To himself)|Five years if five years. You've got to do it.|,,Ajahn Pasanno,Determination,,,,,,,,,,,
0,Comment,3,14:20,,"As Westerners, we don't like the idea of committing, certainly not for life.",SHanna,Culture/West,Determination,,,,,,,,Yes,,,
0,Response,,,,"""Commitment is anathema.""",,Determination,Sensual desire,Ajahn Chah,Perception of a samaṇa,,,,,,,,,
0,,,15:02,18:41,Were there any memories from that period of training with Ajahn Chah that really stand out in your mind? In what ways did you find it difficult?,,Ajahn Chah,Monastic life,Wat Pah Pong,,Poverty,Requisites,Posture/Sitting,Monastic routine,,,,,
0,Quote,,,,"It was difficult, but it was also very satisfying. It felt like exactly what I wanted to be doing and should be doing.",,Ajahn Pasanno,Wat Pah Pong,Ardency,Faith,,,,,,,,,
0,,,18:46,,There were quite a few Westerners who went to train in Thailand at the time. Not all of them made it. What got you through that period of time? What kept you going?,,Monastic life,Monastic life/Motivation,,,Ajahn Chah,Faith,Truth,,,,,Monastic life/Motivation,80
0,,,19:49,,How did you come to be abbot of Wat Pah Nanachat?,,Wat Pah Nanachat,Abbot,,,Ajahn Sumedho,Ajahn Jāgaro,Ajahn Puriso,Ajahn Brahmavaṃso,Wat Keuan,,,Ajahn Pasanno,120
0,Extra tags,,,,,,,,,,Ajahn Chah,,,,,,,,
0,Follow-up,,,,How did you feel about it?,,Ajahn Pasanno,Culture/West,Fear,Ajahn Chah,Trust,,,,,,,,
0,Comment,3,24:42,,"Under your leadership, Wat Pah Nanachat grew in size and more monks came to practice there.",SHanna,Wat Pah Nanachat,Abbot,,,,,,,,,,,
0,Response,,,,"""I think I did okay.""",,Ajahn Pasanno,Humility,Ajahn Chah,Sickness,,,,,,,,,
0,Comment,3,26:05,,You were quite involved in Ajahn Chah's funeral as well. I heard that a million Thai people visited during the funeral period.,SHanna,Ajahn Chah,Funerals,,,Trust,,,,,,,,
0,Response,,,,,AP,Building projects,Funerals,Ajahn Chah,,,,,,,,,,
0,Follow-up,,,,How do you think it went?,AP,Ajahn Chah,Funerals,Wat Pah Pong,Lodging,Food,Eating after noon,Not handling money,Free distribution,,,,,
0,Question,,31:58,,"As abbot of Wat Pah Nanachat, you were involved in a model reforestation project. How did this come about and what motivated you to promote reforestation in Thailand?",,Wat Pah Nanachat,Environment,,,Culture/Thailand,Commerce/economics,Geography/Thailand,Food,Community,,,Environment,100
0,Quote,,,,It's not just forest that you want to pay attention to....The villagers need to make a living.,,Environment,Commerce/economics,Mutual lay/Saṅgha support,Right Livelihood,Learning,,,,,,,,
0,Quote,,,,I had good people helping me. It wasn't just me.,,Ajahn Pasanno,Community,,,,,,,,,,,
0,,,38:16,,How did you come to join Ajahn Amaro as co-abbot of the newly established Abhayagiri Monastery in California?,,Ajahn Amaro,Abbot,Abhayagiri,,Saṅghapāla,Ajahn Sumedho,Jack Kornfield,Elders' Council,Chithurst,,,Ajahn Pasanno,130
0,,,45:30,,What was it like establishing a forest monastery with the strict Vinaya of the Forest Tradition in California in the 1990s?,,Abhayagiri,Vinaya,Thai Forest Tradition,Culture/West,Conscience and prudence,Trust,Precepts,,,Yes,,,
0,,,47:07,49:02.5,"Abhayagiri is not near a major city, but there has been plenty of interest from both laypeople and those wishing to ordain. What do you credit for the successful establishment phase of Abhayagiri Monastery?",,Abhayagiri,Mutual lay/Saṅgha support,Monastic life/Motivation,,Teaching Dhamma,Trust,Thai Forest Tradition,Vinaya,,Yes,,,
0,Quote,,,,We are what we say we are. That helps.,,Abhayagiri,Truth,,,,,,,,,,,
0,,,49:03,,How many monastics are there at Abhayagiri right now?,,Abhayagiri,Monastic life,,,,,,,,Yes,,,
0,,,49:36,,"During your time in the United States, how do you think the knowledge and practice of Buddhism has changed?",,Culture/West,,,,Abhayagiri,Mutual lay/Saṅgha support,,,,,,,
0,,,51:42,54:04,"In 2018 you stepped away from the role of abbot of Abhayagiri, passing the role to Ajahn Karunadhammo and Ajahn Ñāṇiko. Both these monks are American and have mostly trained in the United States at Abhayagiri. How do you feel about this milestone?",,Abhayagiri,Abbot,Retirement,Ajahn Karuṇadhammo,Monastic life,,,,,,,Ajahn Pasanno,140
0,Extra tags,,,,,,Ajahn Ñāṇiko,History/Western Buddhist monasticism,Culture/West,,,,,,,,,,
0,,,54:05,56:51.5,You've lived a life dedicated to the spiritual quest of a Buddhist monk. What advice would you give to someone who's starting out on the Eightfold Path and may have an interest in ordaining as a monk or nun?,,Spiritual search,Monastic life,Eightfold Path,Monastic life/Motivation,Appropriate attention,Culture/West,Perfectionism,Happiness,Right Effort,,,Spiritual search,100
0,Extra tags,,,,,,,,,,Patience,,,,,,,,
