Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Interreligious Retreat-Seminar on Dhamma and Non-duality,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Rishikesh2023,,,,,,,,,,,,,,,,,,
Series,Other retreats,,,,,,,,,,,,,,,,,,
Venue,Ajatananda Ashram,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,24/11/2023,,,,,,,,,,,,,,,,,,
End date,26/11/2023,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/3/110-other-special-events,,,,,,,,,,,,,,,,,,
Description,"Swami Atmananda invited Ajahn Pasanno to provide a Theravāda perspective on an interfaith weekend retreat at Ajatananda Ashram in Rishikesh, India. ",,,,,,,,,,,,,,,,,,
Sessions,5,,,,,,,,,,,,,,,,,,
Excerpts,24,,,,,,,,,,,,,,,,,,
Tags applied,180,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:36:50,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,24/11/2023,2023-11-24 Questions and Answers (23 Nov) Interreligious Retreat-Seminar in Rishikesh (211).mp3,0:45:38,AP,,https://www.abhayagiri.org/media/audio/2023%20LPP%20Rishikesh/QA_LPP_Rishikesh_11.23.2023.mp3,9,,,,,2738,,,,,,,
2,25/11/2023,2023-11-25 Questions and Answers (24 Nov Morning) Interreligious Retreat-Seminar in Rishikesh (411).mp3,0:17:02,AP,,https://www.abhayagiri.org/media/audio/2023%20LPP%20Rishikesh/QA_Morning_LPP_Rishikesh_11.24.2023.mp3,6,,,,,1022,,,,,,,
3,25/11/2023,2023-11-25 Questions and Answers (24 Nov Afternoon) Interreligious Retreat-Seminar in Rishikesh (611).mp3,0:03:44,AP,,https://www.abhayagiri.org/media/audio/2023%20LPP%20Rishikesh/QA_Afternoon_LPP_Rishikesh_11.24.2023.mp3,2,,,,,224,,,,,,,
4,26/11/2023,2023-11-26 Questions and Answers (25 Nov Morning) Interreligious Retreat-Seminar in Rishikesh (811).mp3,0:24:10,AP,,https://www.abhayagiri.org/media/audio/2023%20LPP%20Rishikesh/QA_Morning_LPP_Rishikesh_11.25.2023.mp3,5,,,,,1450,,,,,,,
5,26/11/2023,2023-11-26 Questions and Answers (25 Nov Afternoon) Interreligious Retreat-Seminar in Rishikesh (1011).mp3,0:06:16,AP,,https://www.abhayagiri.org/media/audio/2023%20LPP%20Rishikesh/QA_Afternoon_LPP_Rishikesh_11.25.2023.mp3,2,,,,,376,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:05,5:36,"I know that everything changes, and the only thing we can do is accept or be fine with that. But then you have a lot of resistance to acceptance. What can we do with that resistance?",,Impermanence,Clinging,,,Naturalness,Suffering,Truth,Patience,Continuity of mindfulness,,,,
1,Indirect quote,,,,"So often Ajahn Chah would respond with the advice, |Just be patient.|",,Ajahn Chah,Patience,,,,,,,,,,,
1,,,6:01,9:55,"When that flower is new, if we're aware of its impermanence and we accept that and we know that it's coming, is there any reason not to love the flower, appreciate its beauty, and accept it as a blessing?",,Impermanence,Beauty,,,,,,,,,,Impermanence,110
1,Indirect quote,,,,"A group of experienced Western Buddists ask Ajahn Chah about Right View. He replies, |Right View is knowing that this cup is broken.|",,Ajahn Chah,Right View,Impermanence,,,,,,,,,,
1,Question,,10:27,20:22,Have you ever regretted choosing the monastic life? Has your mother ever thought you made a wrong choice?,,Ajahn Pasanno,Monastic life/Motivation,Doubt,Parents,Gratitude,Retirement,Energy,Mentoring,Christianity,,,,
1,Extra tags,,,,,,,,,,Abhayagiri,,,,,,,,
1,Fragment,,13:07,15:16,,,,,,,,,,,,,,,
1,Reflection,s,,,on leadership.,,Leadership,,,,Ajahn Chah,Abbot,Wat Pah Nanachat,Discernment,,,,Leadership,80
