Modified:,2025,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,
Title,Recollections of Ajahn Chah,,,,,,,,,,,,,,,,,,,
Subtitle,His Life and Teachings,,,,,,,,,,,,,,,,,,,
Code,SRD2010,,,,,,,,,,,,,,,,,,,
Series,Spirit Rock Daylongs,,,,,,,,,,,,,,,,,,,
Venue,Spirit Rock Meditation Center,,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,,
Start date,19/09/2010,,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,,
Tags,Ajahn Chah,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/45-recollections-of-ajahn-chah-a-daylong-by-ajahn-pasanno,,,,,,,,,,,,,,,,,,,
Description,"During this daylong retreat, Ajahn Pasanno shares teachings and memories of his beloved teacher, Ajahn Chah. By the time of his passing in 1992, Ajahn Chah had become one of the most highly revered Buddhist meditation masters in Thailand. The readings come from a draft version of Ajahn Jayasaro's biography of Ajahn Chah that was published as [Stillness Flowing](Stillness Flowing) in 2018.",,,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,,
Excerpts,16,,,,,,,,,,,,,,,,,,,
Tags applied,384,,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,,
Duration,1:06:13,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,,
1,19/09/2010,2010-09-27 Recollections of Ajahn Chah - His Life and Teachings - Part 1.mp3,52:08,AP,His Life and Teachings Part 1,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_01_Opening.mp3,13,Ajahn Chah,,,,3128,,,,,,,,
2,19/09/2010,2010-09-27 Recollections of Ajahn Chah - Meditation Instruction 1.mp3,6:24,AP,Meditation Instruction 1,https://www.abhayagiri.org/media/audio/AP_09_19_2010_AC_Daylong_02_Med_Instruct_1.mp3,1,Ajahn Chah,,,,384,,,,,,,,
