Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,The Whole of the Path,,,,,,,,,,,,,,,,,,
Subtitle,The Fruits of Spiritual Friendship,,,,,,,,,,,,,,,,,,
Code,SRD2013,,,,,,,,,,,,,,,,,,
Series,Spirit Rock Daylongs,,,,,,,,,,,,,,,,,,
Venue,Spirit Rock Meditation Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,22/06/2013,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Spiritual friendship,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/46-friendship-a-daylong-by-ajahn-pasanno,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,20,,,,,,,,,,,,,,,,,,
Tags applied,141,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:01:14,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,22/06/2013,2013-08-18 Friendship SR Daylong-Part 3 (Q &A 1).mp3,17:33,AP,,https://www.abhayagiri.org/media/audio/AP_06_22_2013_SR_Daylong_Part_3_Q_%26_A_1.mp3,5,Spiritual friendship,,,,1053,,,,,,,
2,22/06/2013,2013-08-15 Friendship SR Daylong-Part 7 (Q & A 2).mp3,5:16,AP,,https://www.abhayagiri.org/media/audio/AP_06_22_2013_SR_Daylong_Part_7_Q_%26_A_2.mp3,4,,,,,316,,,,,,,
3,22/06/2013,2013-08-13 Friendship SR Daylong-Part 9 (Q & A 3).mp3,38:25,AP,,https://www.abhayagiri.org/media/audio/AP_06_22_2013_SR_Daylong_Part_9_Q_%26_A_3.mp3,11,,,,,2305,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:06,,Could you tell us how you became a monk?,,Ordination,Ajahn Pasanno,Monastic life/Motivation,,Culture/Thailand,Meditation,,,,Yes,,,
1,Quote,,,,I stumbled into it.,,Monastic life,,,,,,,,,,,,
1,Comment,,3:00,,It's not so easy to let go of people who have been in my life forever to cultivate new friendships.,,Relinquishment,,,,,,,,,,,,
1,Response,,,,,,Judgementalism,Virtue,Ajahn Pasanno,Views,,,,,,,,,
1,,,10:14,11:47,Why is discernment a better word for wisdom?,,Discernment,Translation,,,Pāli,Etymology,,,,Yes,,Discernment,70
1,,,11:53,,"If my sister has unwholesome friendships, how can I help her redirect these?",,Family,,,,Compassion,Judgementalism,Right Intention,Right Speech,Admonishment/feedback,,,,
1,Story,,,,An Abhayagiri monk skillfully conveys concerns to his father.,,Family,Right Speech,Admonishment/feedback,Abhayagiri,,,,,,,,,
1,Meditation instruction,,15:00,,Walking meditation instructions.,,Posture/Walking,,,,Continuity of mindfulness,Tranquility,,,,,,,
2,,,0:04,1:39,The Buddha said 'One is expected to cultivate the path when you meet noble friends.' How much responsibility do we need to take for this?,,Spiritual friendship,Association with people of integrity,Volition,,,,,,,,,,
2,,,1:41,,"[When talking about the qualities for developing the Eightfold Path, seclusion, cessation, and dispassion.]|Could you distinguish between cessation and dispassion?|",,Eightfold Path,Progress of insight,Cessation,Dispassion,Pāli,Etymology,,,,,,,
2,,,3:27,,"Could you give the Pāli words for dispassion, cessation, and maturing? Also the word you used with otappa?",,Pāli,Dispassion,Cessation,Release,Seclusion,,,,,,,,
2,Extra tags,,,,,,Conscience and prudence,,,,,,,,,,,,
2,Comment,,4:14,4:38,Saṃvega comes in there somewhere.,,Spiritual urgency,Pāli,,,,,,,,,,,
3,,,0:00,,What do we do at the monastery? What happens on a daily basis?,,Monastic routine,Abhayagiri,,,,,,,,,,Monastic routine,80
3,Comment,,2:42,,"The more we become like monks and nuns, the more we will be helping the climate change situation.",,Monastic life,Environment,,,,,,,,,,,
3,Response,,,,,,Simplicity,Contentment,Generosity,Human,,,,,,,,,
3,,,3:34,8:10,Can you give some suggestions on dealing with betrayal in relationships?,,Relationships,Sexual misconduct,Trust,,Spiritual friendship,Faith,Virtue,Generosity,Discernment,,,,
