Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Perspectives on Buddhist Practice from Ajahn Chah,,,,,,,,,,,,,,,,,,
Subtitle,"Virtue, Relinquishment, Awareness, and Liberation",,,,,,,,,,,,,,,,,,
Code,SRD2024,,,,,,,,,,,,,,,,,,
Series,Spirit Rock Daylongs,,,,,,,,,,,,,,,,,,
Venue,Spirit Rock Meditation Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,25/08/2024,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Ajahn Chah,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/8693-perspectives-on-buddhist-practice-from-ajahn-chah-part-1,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno reflects on how Ajahn Chah’s teachings have guided his practice through stories, reflections, periods of meditation, and the opportunity for questions.",,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,32,,,,,,,,,,,,,,,,,,
Tags applied,191,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,2:58:21,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,25/08/2024,2024-08-26 Perspectives on Buddhist Practice from Ajahn Chah (Part 1).mp3,1:12:23,AP,Virtue and Relinquishment,https://www.abhayagiri.org/media/audio/DT%202024/PerspectivesOnBuddhistPracticeFromAjahnChah_pt1_LPP_08.25.2024.mp3,10,Ajahn Chah,,,,4343,,,,,,,
2,25/08/2024,2024-08-26 Perspectives on Buddhist Practice from Ajahn Chah (Part 2).mp3,1:45:58,AP,Questions and Answers,https://www.abhayagiri.org/media/audio/DT%202024/PerspectivesOnBuddhistPracticeFromAjahnChah_pt2_LPP_08.25.2024.mp3,12,,,,,6358,,,,,,,
