Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,"Samadhi, Memory & Renunciation Q&A",,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,SamadhiQA2026,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AKd;ACu,,,,,,,,,,,,,,,,,,
Start date,07/01/2026,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/9050-samadhi-memory-renunciation-qa,,,,,,,,,,,,,,,,,,
Description,A short question and answer session offered at the beginning of Winter Retreat 2026.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,4,,,,,,,,,,,,,,,,,,
Tags applied,65,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,23:16,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,07/01/2026,SamadhiMemoryAndRenunciation_QandA_01.07.2026.mp3,23:16,AP,,https://www.abhayagiri.org/media/audio/2026/Winter%20Retreat%202026/SamadhiMemoryAndRenunciation_QandA_01.07.2026.mp3,4,,,,,1396,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,0:10.7,5:23.7,What is the difference between concentration and mindfulness?,,Concentration,Mindfulness,,,Continuity of mindfulness,Ajahn Chah,Unification,Translation,Equanimity,,,Unification,150T
0,Extra tags,,,,,,,,,,Etymology,Spaciousness,,,,,,,
0,Teaching from,,,,The point that includes versus the point that excludes.|Ajahn Sumedho,,Ajahn Sumedho,Unification,,,,,,,,,,,
0,,,5:25.7,6:53,I feel like the point you're making about an exclusive versus an inclusive unification or one-pointedness is in line with the way I've been practicing Zazen. ... [Mindfulness and concentration both feel like they have the quality of open awareness that is inclusive. ... Is concentration a more developed kind of mindfulness?,,Unification,Zen,Mindfulness,Concentration,,,,,,,,,
0,Extra tags,,,,,,Spaciousness,,,,,,,,,,,,
0,,,7:04,15:37.7,"If you live long enough and you start to have Alzheimer's or dementia, if you're well-practiced throughout your whole life, you'll still be grounded in something, right?",AP;AKd,Ageing,Sickness,Memory,Long-term practice,Ajahn Pasanno,Ajahn Chah,,,,,,Memory,150
0,Story,,,,"Despite having dementia, Venerable Mahāghosānanda attends a meeting of Buddhist leaders at Spirit Rock Meditation Center. Abhayagiri monks look after him and delight in his presence.",AP,Preah Mahāghosānanda,Memory,Spirit Rock,Upatakh,Abhayagiri,Personal presence,Dalai Lama,Ajahn Pasanno,,,,,
0,Reflection,,,,"When Ajahn Chah was sick, his cognitive functions deteriorated, but his citta was unwavering.",AKd;AP,Ajahn Chah,Sickness,Heart/mind,Nature of mind,Translation,Ajahn Ṭhānissaro,,,,,,,
0,Indirect quote,-,,,You don't have to worry about Ajahn Chah. His mind is bright and pure.|Ajahn Poot,AP,Ajahn Poot,Ajahn Chah,Sickness,Heart/mind,Dependent origination,Chanting,Wat Pah Nanachat,,,,,,
0,Reference,--,,,"Vipassanā-bhūmī, Chanting Book V2 p. 67.",,,,,,,,,,,,,,
0,Reflection,,,,The mind is another sense base. It's not who you are.,AKd,Sense bases,Nature of mind,Not-self,,,,,,,,,,
0,,,15:44.5,23:15.5,"How do you deal with the fear of renunciation and sacrifice that you do on the path of practice? Giving things up that are familiar and comfortable, or even that you know are uncomfortable, but there's still that dukkha around it. Or after you've given up, the mind can proliferate on these subjects a lot. What has your experience been like?",AP;ACu,Renunciation,Fear,Suffering,Proliferation,Self-identity view,Cessation of Suffering,Relinquishment,Discernment,Happiness,,,,
0,Extra tags,,,,,,,,,,Monastic life,,,,,,,,
0,Indirect quote,q,,,Everything I've ever let go of has claw marks on it.|David Foster Wallace,AP,Relinquishment,Clinging,,,,,,,,,,,
0,Story,,,,Just sweep the leaves in front of your broom.,ACu,Wat Pah Nanachat,Present moment awareness,Similes,,,,,,,,,,
0,Story,,,,A young child struggles to give Ajahn Sumedho a candy on almsround.,AKd,Generosity,Almsround,Ajahn Sumedho,Happiness,,,,,,,,,
