Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Stanford Community Dhamma Discussion,,,,,,,,,,,,,,,,,,
Subtitle,Reflections on the Path,,,,,,,,,,,,,,,,,,
Code,Stanford2020,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,25/04/2020,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/7338-stanford-community-dhamma-discussion,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno offers a live stream Dhamma talk and Q&A for the Buddhist Community at Stanford (BCAS).,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,8,,,,,,,,,,,,,,,,,,
Tags applied,96,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:24:44,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,25/04/2020,2020-04-25 Stanford Community Dhamma Discussion.mp3,1:24:44,AP,,https://www.abhayagiri.org/media/audio/youtube/m02JGV8_WZg.mp3,8,,,,,5084,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,43:05,,What is your favorite thing you've gotten from monastic life?,,Ajahn Pasanno,Monastic life/Motivation,,,Virtue,Teachers,Contentment,,,,,,
0,Quote,,,,You really get to see the best of the human condition as a monastic. That's a real treat.,,Human,Monastic life,,,,,,,,,,,
0,,,45:46,52:36.5,What advice do you have for students or graduates hoping to progess on the Noble Path towards Nibbāna while a student or in the workplace?,,Eightfold Path,Nibbāna,Education,Work,Human,Discernment,Compassion,Generosity,Perfectionism,,,Lay life,90
0,Extra tags,,,,,,Lay life,,,,Desire,Suffering,Politics and society,Simplicity,Environment,,,,
0,Extra tags,,,,,,,,,,Depression,Restlessness and worry,Skillful qualities,Community,,,,,
0,,,52:41,,The pandemic has given rise to feelings of profound grief and loss in many of us. How can we best work with these emotions to cultivate well-being for ourselves and others?,,Pandemic,Grief,Emotion,Happiness,Self-identity view,Clinging,Commerce/economics,Perception,,,,,
0,Extra tags,,,,,,Community,,,,,,,,,,,,
0,,,59:17,,"Apart from social distancing, what are other ways to behave compassionately during this time when there's so much physical distance between us?",,Pandemic,Health,Compassion,,Generosity,Online community,Grief,,,,,,
0,,,1:01:25,1:07:06,"In your guided meditation you mentioned noticing, 'This is bearable.' When is it skillful to bear with and when it is skillful to put effort towards change, whether in action or in the mind?",,Patience,Equanimity,Right Effort,,Discernment,Pain,Skillful qualities,Unskillful qualities,Happiness,,,,
0,Extra tags,,,,,,,,,,Clear comprehension,,,,,,,,
0,,,1:07:09,1:11:38,How do we deal with a world full of view and opinions?,,Views,,,,Idealism,Conditionality,Impermanence,Truth,,,,Views,70
0,Story,,,,Sariputta doesn't approve of a teaching of the Buddha until he puts it into practice himself. Told by Ajahn Chah.,,Great disciples,Teaching Dhamma,Direct experience,Faith,Ajahn Chah,,,,,,,,
0,,,1:11:41,1:16:08,"In what way are qualities and effects viral? Are right perception, right speech, right thought, and right action also viral?",,Media,Online community,Perception,Right View,Abhayagiri,History/Western Buddhism,Mindfulness,Skillful qualities,Happiness,,,,
0,Extra tags,,,,,,Right Speech,Right Action,,,Tranquility,Trust,Human,,,,,,
0,,,1:16:16,1:23:35,You mentioned that ruminating on how one would like to change the world or the conditions around oneself can be a source of needless suffering. But there are times when one does want to work to change the world or the way society is organized for the sake of lovingkindness and alleviating suffering. How do we engage with those desire for change in a skillful way?,,Politics and society,Suffering,Desire,Goodwill,Conditionality,Self-identity view,Conflict,Poverty,Judgementalism,,,,
0,Extra tags,,,,,,Compassion,Skillful qualities,Activism,,Aversion,Culture/Thailand,Environment,Idealism,,,,,
0,Quote,,,,"If one is going to commit oneself to change, one has to get used to looking at things from a big perspective, a perspective of 'How do we include rather than exclude?'",,Politics and society,Activism,Community,,,,,,,,,,
0,Quote,,,,You want to approach a particular problem with an open a mind as possible and then see who might be willing and able to help.,,Politics and society,Activism,Community,,,,,,,,,,
