Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Q&ampA at Sudhana Center,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Sudhana2023,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Sudhana Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,12/07/2023,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,9,,,,,,,,,,,,,,,,,,
Tags applied,66,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,23:37,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,12/07/2023,Q+A_LPP_SudhanaCenter_07.12.23.mp3,23:37,AP,,,9,,,,,1417,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,,,0:00,8:01,In reference to the fragrance of the flower....There are many roses in the courtyard across the street....Why do we cultivate beauty? Where does beauty arise from?,,Beauty,,,,Clinging,Happiness,Master Hsuan Hua,Empathetic joy,Unconditioned,,,,
0,Sutta,,,,MN 37: Sabbe dhamma nalam abhinivesaya. (Nothing whatsoever should be clung to.),,Clinging,,,,,,,,,,,,
0,Story,,,,Ajahn Pasanno's mother sends his old letters to Abhayagiri.,,Ajahn Pasanno,Abhayagiri,,,,,,,,,,,
0,Recollection,,,,Ajahn Chah was unshakeable in the midst of all the things that were happening around him and responded warmly and compassionately to the people around him.,,Ajahn Chah,Equanimity,Compassion,Ajahn Pasanno,Family,Monastic life/Motivation,,,,,,,
0,,,8:12,,Did you get a little bit [of Ajahn Chah's equanimity and warmth]? What's it like?,,Ajahn Chah,Ajahn Pasanno,,,Monastic life/Motivation,,,,,,,,
0,,,8:51,9:53,Is there a plan to publish the letters [that Ajahn Pasanno wrote home during his travels]?,,Ajahn Pasanno,Dhamma books,,,,,,,,,,,
0,,,9:58,,"I notice that some of the monks at Abhayagiri use social media. As a youngster, I use a lot of social media. You grew up when there was none. What's your view on how it's affecting our mind?",,Social media,Monastic life,Abhayagiri,Ajahn Pasanno,,,,,,,,,
0,,,11:58,,"I feel that a lot of people are disconnected with the reality world. They don't have a place of social, and they withdraw themselves and go on the internet. So I think the fundamental problem is people [audio unclear] in this real world. Do you have any comments on how to connect people in the real world so there can be a replacement of social media?",,Community,Social media,Internet,,Dhamma online,Pandemic,Online community,Abhayagiri,Lunar observance days,,,,
0,Sutta,,,,SN 55.5: Spiritual friendship as a condition for Right View.,,Spiritual friendship,Right View,Conditionality,Appropriate attention,,,,,,,,,
0,Comment,,15:43,16:59,"Since the pandemic, I have been in better communication with my family.",,Pandemic,Family,Internet,Communal harmony,,,,,,,,,
0,Response,,,,,,Discernment,,,,,,,,,,,,
0,,,17:04,,What's the feeling of wearing the same color for 50 years?,,Monastic life,Robes,,,Culture/West,,,,,,,,
0,,,17:50,20:29,My understanding is that it is not good to indulge the five senses. But is there a way to make that help with your cultivation?,,Sense bases,Sense restraint,,,Appropriate attention,Discernment,Skillful qualities,Unskillful qualities,,,,Sense bases,80
0,Reference,,,,Chanting Book p. 6: Recollection of the Dhamma,,Recollection/Dhamma,,,,,,,,,,,,
0,Sutta,,,,SN 35.23: The six senses are the all.,,Sense bases,,,,,,,,,,,,
0,Sutta,,,,"SN 35.116: A perceiver of the world, a conceiver of the world.",,Sense bases,,,,,,,,,,,,
0,,,20:33,23:27,"It's understandable that we crave happiness through the senses. Attaching to a certain type of happiness through the senses is not helpful for cultivation. But there's also the emphasis on joy in the Buddha's teachings. So there should be a balance, and where to find that?",,Sense bases,Sensual desire,Happiness,Gladdening the mind,Four Noble Truths,,,,,,,,
0,Quote,,,,All the elements of the path are a source of happiness and well-being.,,Eightfold Path,Happiness,,,,,,,,,,,
0,Follow-up,,,,"What about the joy that comes from enjoying sensual things like music, painting, scents, and water?",,Sensual desire,Artistic expression,Beauty,Happiness,Clinging,Spaciousness,,,,,,,
