Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Even the Sāsana Will Pass Away,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Sunday2025-2,,,,,,,,,,,,,,,,,,
Series,Amaravati Sunday Talks,,,,,,,,,,,,,,,,,,
Venue,Amaravati Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,24/08/2025,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Impermanence,,,,,,,,,,,,,,,,,,
Website,https://amaravati.org/audio/even-the-sasana-will-pass-away/,,,,,,,,,,,,,,,,,,
Description,"Readings, reflections, and Q&A about the changing nature of all conditions.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,15,,,,,,,,,,,,,,,,,,
Tags applied,75,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:28:43,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,24/08/2025,Sunday_Talks_2025_07_Even_the_Sasana_Will_Pass_Away.mp3,1:28:43,AP,,https://cdn.amaravati.org/wp-content/uploads/2025/06/20/Sunday_Talks_2025_07_Even_the_Sasana_Will_Pass_Away.mp3,15,Impermanence,,,,5323,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,Reading,s,Session,,AN 7.48.10: Saññā Sutta; SN 35.82: Loka; Ud 4.1: Meghiya; AN 1.136: Uppādā Sutta; SN 15.20: Mount Vepulla.,,,,,,,,,,,,,,
0,Indirect quote,,11:32,12:51.5,Whatever speech doesn't take into account the reality of impermanence is not the speech of wise person.|Ajahn Chah,,Ajahn Chah,Right Speech,Discernment,,,,,,,,,,
0,Reflection,,22:03,23:39,The sign of spiritual maturity is the inclination to disenchantment and relinquishment.,,Meditation/Results,Disenchantment,Relinquishment,,Ajahn Chah,,,,,,,,
