Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Thanksgiving Retreat 2004,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,TG2004,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,
Teachers,AP;Taraniya;Jayanta,,,,,,,,,,,,,,,,,,
Start date,20/11/2004,,,,,,,,,,,,,,,,,,
End date,27/11/2004,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,,Shirley Jayanta Johannsen,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno led the 2004 Thanksgiving Retreat along with Gloria Taraniya Ambrosia and Shirley Jayanta Johannsen during Ajahn Amaro's sabbatical. There was only a single question and answer session.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,10,,,,,,,,,,,,,,,,,,
Tags applied,74,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:09:23,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
13,25/11/2004,Questions_and_Answers.mp3,1:09:23,AP;Taraniya,,,10,,,,,4163,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
13,,,1:20,6:17,"How does one know if one has had an insight or if one has just had another deluded thought? Is insight a 'wordless knowing' or can it involve conceptual, discursive thought? If one is having deluded insights, one isn't likely to know they are deluded, right?",AP,Insight meditation,Delusion,,,History,Skillful qualities,Suffering,,,,,,
13,,,6:46.5,12:13,"When one is in the midst of an unpleasant situation, for example one is very stressed because one is running out of time trying to meet a deadline, what should one do? Does one focus on the bodily sensation at that time while trying to do the work at hand? There are tremendous negative forces at the time distracting one from concentrating or anything.",Taraniya,Suffering,Work,Time management,Mindfulness of body,Concentration,Ignorance,Craving,Insight Meditation Society,Mindfulness of breathing,,,,
13,Sutta,,,,"MN 10.3: ""Having removed desire and aversion for the world.""",,,,,,,,,,,,,,
13,,,12:37.5,20:43,"At the end of your morning teaching, you said, 'Return to the knowing.' Please say more about this and how I can know I'm experiencing the knowing, not just the ego---I and me.",AP,Knowing itself,Self-identity view,,,Mindfulness,Thai,Proliferation,Skillful qualities,Unskillful qualities,,,Knowing itself,300
13,Extra tags,,,,,,,,,,Restlessness and worry,Doubt,Buddha,Conditionality,,,,,
13,,,20:59.5,30:21,"I'm working/practicing at staying composed and equanimous. As meditation deepens, I find some challenging emotions arise. I'm avoiding look at its story so I can focus on the reactions in the body to whatever that story may be. I've noticed that the reactions in the body are identical to the sensations climbing the hill behind the meditation hall. So I imagine that I'm outside climbing the hill and feel the heart rate rise, heat, tension when falling off-balance, etc. This is a much easier place to let go of the sensations because it cools any fears that may arise with the original story. Is this okay to do or should I face the demon in his own costume instead of one I've made for it?",Taraniya,Equanimity,Emotion,Mindfulness of body,Visualization,Perception,Aversion,Taraniya,,,,,,
13,Fragment,,26:44,30:16,,,,,,,,,,,,,,,
13,Reflection,,,,The hindrances come into play as a remedy for a situation that is already difficult.,,Hindrances,Benefit/gratification,Drawbacks,,,,,,,,,Hindrances,160
13,Teaching,,30:30,33:58,Ten perceptions from the Girimānanda Sutta (AN 10.60).,AP,Perception,Recollection,,,,,,,,,,,
13,,,35:06.5,51:53,Can you please remind me of some skillful ways to deal with anger?,Taraniya,Aversion,,,,Goodwill,Mindfulness,Ajahn Amaro,Impermanence,Kamma,,,,
13,Extra tags,,,,,,,,,,Taraniya,Ignorance,Spiritual friendship,Medicinal requisites,Ajahn Sumedho,,,,
13,Extra tags,,,,,,,,,,Media,Politics and society,,,,,,,
13,Reference,,,,Chanting Book p. 58: Reflections on impermanence and kamma.,,,,,,,,,,,,,,
