Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Thanksgiving Retreat 2011,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,TG2011,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,
Teachers,AP;AY;AKd;DS,,,,,,,,,,,,,,,,,,
Start date,18/11/2011,,,,,,,,,,,,,,,,,,
End date,27/11/2011,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,,,,,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center.,,,,,,,,,,,,,,,,,,
Sessions,8,,,,,,,,,,,,,,,,,,
Excerpts,192,,,,,,,,,,,,,,,,,,
Tags applied,1235,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,6:39:00,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,19/11/2011,02 19-11-2011 - Ajahn Pasanno - Questions and Answers Day 1.mp3,23:37,AP,,,6,,,,,1417,,,,,,,
2,20/11/2011,06 20-11-2011 - Ajahn Pasanno - Questions and Answers Day 2.mp3,50:52,AP,,,23,,,,,3052,,,,,,,
3,21/11/2011,09 21-11-2011 - Ajahn Pasanno - Questions and Answers Day 3.mp3,52:50,AP,,,15,,,,,3170,,,,,,,
4,22/11/2011,13 22-11-2011 - Ajahn Pasanno - Questions and Answers Day 4.mp3,50:51,AP,,,25,,,,,3051,,,,,,,
5,23/11/2011,17 23-11-2011 - Ajahn Pasanno - Questions and Answers Day 5.mp3,1:01:27,AP,,,29,,,,,3687,,,,,,,
6,24/11/2011,21 24-11-2011 - Ajahn Pasanno - Questions and Answers Day 6.mp3,54:27,AP,,,27,,,,,3267,,,,,,,
7,25/11/2011,25 25-11-2011 - Ajahn Pasanno - Questions and Answers Day 7.mp3,58:13,AP,,,41,,,,,3493,,,,,,,
8,26/11/2011,27 26-11-2011 - Ajahn Pasanno - Questions and Answers Day 8.mp3,46:43,AP,,,26,,,,,2803,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:01.5,,How can one enjoy meditation when one's knees are on fire?,,Meditation,Happiness,Pain,,Ajahn Pasanno,Posture/Sitting,Body/form,Mindfulness of breathing,Visualization,,,,
1,Extra tags,,,,,,,,,,Discernment,,,,,,,,
1,Main fragment,,0:01.5,4:14,,,,,,,,,,,,,,Pain,90
1,Append audio,-,5:42,6:12,,,,,,,,,,,,,,,
1,Story,,,,The monks at Winchester Cathedral used props during long chanting sessions.,,Christianity,Posture/Standing,Chanting,,,,,,,,,,
1,,,6:12,,Thank you for this morning's talk on the recollections and faith. Could you elaborate on your point about faith and anāgamī? Has anyone been fully liberated through faith?,,Faith,Non-return,Liberation,,Discernment,Energy,Faculties,The New Yorker,Culture/West,,,,
1,Reflection,,,,Faith is the trigger for letting go and relinquishment.,,Faith,Relinquishment,,,,,,,,,,,
1,Sutta,,,,MN 52: Delight in the Dhamma and the third stage of liberation.,,Recollection/Dhamma,Non-return,,,,,,,,,,,
1,,!,12:07,18:06,"Would you kindly comment on the cultivation and use in one's Dhamma practice of one's creative gifts, such as music, art, dance, writing, and so on?",,Artistic expression,,,,Skillful qualities,Unskillful qualities,Self-identity view,Culture/Thailand,Ajahn Mun,,,Artistic expression,100
1,Extra tags,,,,,,,,,,Blame and praise,,,,,,,,
1,Story,,,,Master Hua disapproves of Rev. Heng Sure giving his instruments away.,,Master Hsuan Hua,Rev. Heng Sure,Artistic expression,Teaching Dhamma,,,,,,,,,
1,,,18:07,,"I've realized that I'm like a fish in aversive water and was bringing that into practice, constantly rejecting what was happening and generally losing track of my meditation object, the breath. Can you speak a bit more about attitude versus object?",,Aversion,Mindfulness of breathing,Attitude,,Commentaries,Three Refuges,Habits,Skillful qualities,Buddha images,,,,
1,Extra tags,,,,,,,,,,Mindfulness of body,,,,,,,,
2,,,0:14,,I have very little faith in the possibility of being enlightened in this lifetime; perhaps stream entry. Is stream entry a realistic possibility for many of us if leading householder lives?,,Stream entry,Lay life,,,Purpose/meaning,Liberation,,,,,,Stream entry,99H
2,Sutta,,,,SN 55.1: Unshakeable confidence and being established in virtue.,,Three Refuges,Faith,Five Precepts,Virtue,,,,,,,,,
2,Reference,,,,[The Island Chapters 16-19](The Island p. 279).,,,,,,,,,,,,,,
2,,,2:59.5,3:58,Is it permissible to take notes during your talks?,,Hearing the true Dhamma,,,,Sloth and torpor,Royalty,,,,,,,
2,,,4:00,6:50.5,"Can you speak about the balance between implementing an antidote to a hindrance and practicing patience? I'm having a lot of aversion, and as I try to use both of these practices I'm finding myself full of doubt and confusion.",,Hindrances,Right Effort,Patience,Aversion,Spaciousness,,,,,,,,
2,Extra tags,,,,,,Doubt,,,,,,,,,,,,
2,,,6:52,,Is the concept of anatta or no-self a suitable object of meditation?,,Not-self,Meditation/Techniques,,,,,,,,,,,
2,,,7:46,8:35,What's the difference between proliferation and directed thought?,,Proliferation,Directed thought and evaluation,,,Unwholesome Roots,Mindfulness,,,,,,,
2,,,8:37,9:56,What are the characteristics/attainments of the eight noble beings? Where are they described?,,Stages of awakening,,,,Sutta,Commentaries,,,,,,,
2,,,9:56,12:02.5,"On retreat, is it skillful to try to memorize some of the chants?",AP;AKd,Meditation retreats,Chanting,Memory,,Mindfulness,Faith,Posture/Walking,Continuity of mindfulness,,,,,
2,,,12:03,14:54,"Sometimes I experience what one of my teachers has called a multiple hindrance attack. For me this manifests as sloth and torpor and restlessness, feeling as if they are arising simultaneously. Sloth and torpor may be primary; I'm not sure. Any wise words?",,Hindrances,Sloth and torpor,Restlessness and worry,,Doubt,Skillful qualities,Unskillful qualities,Pāli,,,,Hindrances,100
2,,,14:55,17:09,"Could you please say a little more about the fifth hindrance, doubt? Is it self-doubt or doubt of the Dhamma?",,Doubt,,,,Culture/West,Mindfulness of body,Pāli,,,,,,
