Modified:,2025,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,
Title,2014 Thanksgiving Monastic Retreat,,,,,,,,,,,,,,,,,,,
Subtitle,“Just Right” Practice,,,,,,,,,,,,,,,,,,,
Code,TG2014,,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,,
Teachers,AP;AKd;ANy;DS,,,,,,,,,,,,,,,,,,,
Start date,21/11/2014,,,,,,,,,,,,,,,,,,,
End date,30/11/2014,,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/index.html,,,,,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center before it closed due to fire damage.,,,,,,,,,,,,,,,,,,,
Sessions,7,,,,,,,,,,,,,,,,,,,
Excerpts,217,,,,,,,,,,,,,,,,,,,
Answers listened to,64,,,,,,,,,,,,,,,,,,,
Tags applied,638,,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,,
Duration,8:10:22,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,
Session #,,,Date,Filename,Duration,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Teachers,Exclude?,Seconds,,,,,,
1,,,22/11/2014,AP_11_22_2014_TMR_Questions_and_Answers_1.mp3,55:13,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_22_2014_TMR_Questions_and_Answers_1.mp3,23,,,,AP,,3313,,,,,,
2,,,23/11/2014,AP_11_23_2014_TMR_Questions_and_Answers_2.mp3,59:07,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_23_2014_TMR_Questions_and_Answers_2.mp3,21,,,,AP,,3547,,,,,,
3,,,24/11/2014,AP_11_24_2014_TMR_Questions_and_Answers_3.mp3,1:15:26,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_24_2014_TMR_Questions_and_Answers_3.mp3,30,,,,AP,,4526,,,,,,
4,,,25/11/2014,AP_11_25_2014_TMR_Questions_and_Answers_4.mp3,1:10:29,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_25_2014_TMR_Questions_and_Answers_4.mp3,35,,,,AP,,4229,,,,,,
5,,,26/11/2014,AP_11_26_2014_TMR_Questions_and_Answers_5.mp3,1:24:46,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_26_2014_TMR_Questions_and_Answers_5.mp3,34,,,,AP,,5086,,,,,,
6,,,27/11/2014,AP_11_27_2014_TMR_Questions_and_Answers_6.mp3,1:06:27,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_27_2014_TMR_Questions_and_Answers_6.mp3,46,,,,AP,,3987,,,,,,
7,,,28/11/2014,AP_11_28_2014_TMR_Questions_and_Answers_7.mp3,1:18:54,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_28_2014_TMR_Questions_and_Answers_7.mp3,28,,,,AP,,4734,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Teachers,Text,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,ATag6,AListen?,Exclude?,FTags,FTagOrder
1,,,0:19,5:04,,"In what cases, if any, is it useful to try to assess whether stream entry has occurred? Or is this question best left aside?",Stream entry,,,,Proliferation,,,,,,Yes,,,
1,Sutta,,,,,AN 3.12: The place where one attains stream entry is never fogotten.,Stream entry,,,,,,,,,,,,,
1,Sutta,s,,,,"SN 55.1, SN 55.42: Stream entry described in terms of faith in the Three Refuges, virtue, and generosity.",Stream entry,Three Refuges,Faith,Virtue,Generosity,,,,,,,,,
1,,,5:17,,,"How should I repay your kindness, the immense kindness of the Buddha?",Gratitude,Buddha,,,,,,,,,,,,
