Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Teen Weekend 2017,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Teen2017,,,,,,,,,,,,,,,,,,
Series,Q&ampA sessions,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,02/09/2017,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/33-teen-weekends,,,,,,,,,,,,,,,,,,
Description,"This question and answer session was offered as part of the Teen Weekend on September 2, 2017 at Abhayagiri Buddhist Monastery.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,30,,,,,,,,,,,,,,,,,,
Tags applied,178,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,2:02:58,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,02/09/2017,2017-09-11 Teen Weekend Q&A with Luang Por.mp3,2:02:58,AP,,https://www.abhayagiri.org/media/audio/youtube/VFZT1cPus6M.mp3,30,,,,,7378,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,17:34,29:19,What meaningful impact do Buddhist monks have on the community?,,Monastic life,Mutual lay/Saṅgha support,Community,Saṅgha,Culture/West,Culture/Thailand,Ajahn Chah,Ajahn Pasanno,Wat Pah Nanachat,,,Mutual lay/Saṅgha support,150
0,Extra tags,,,,,,,,,,Lunar observance days,Abhayagiri,,,,,,,
0,Fragment,r,5:46.4,7:47.5,,,,,,,,,,,,,,,
