Modified:,2026,
Text,Verse,Section name
MN 2,5,Taints to Be Abandoned by Seeing
,12,Taints to Be Abandoned by Restraining
,13,Taints to Be Abandoned by Using
,18,Taints to Be Abandoned by Enduring
,19,Taints to Be Abandoned by Avoiding
,20,Taints to Be Abandoned by Removing
,21,Taints to Be Abandoned by Developing
,,
MN 10,4,Mindfulness of Breathing
,6,The Four Postures
,8,Clear Comprehension
,10,The 32 Parts
,12,Elements
,14,Corpse Contemplation
,32,Mindfulness of Feeling
,34,Mindfulness of Mind
,36,The Five Hindrances
,38,The Five Aggregates
,40,The Six Sense Bases
,42,The Seven Enlightenment Factors
,44,The Four Noble Truths
,46,Conclusion
