Modified:,2025,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,
Title,Right Livelihood,,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,,
Code,UD2013-1,,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,,
Teachers,AP;AY;AKd,,,,,,,,,,,,,,,,,,,
Start date,21/04/2013,,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,,
Tags,Right Livelihood,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/67-right-livelihood-upasika-day-2013,,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno reads from [Buddhist Economics]() and [Constitution for Living]() and answers questions related to the topic of Right Livelihood.,,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,,
Excerpts,36,,,,,,,,,,,,,,,,,,,
Tags applied,182,,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,,
Duration,1:58:48,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,,
1,21/04/2013,2013-04-21 Right Livelihood Upasika Day.mp3,1:22:37,AP,,https://www.abhayagiri.org/media/audio/AP_04_21_2013_UD1_Right_Livelihood.mp3,28,Right Livelihood,,,,4957,,,,,,,,
2,21/04/2013,2013-04-21 Right Livelihood Questions and Answers.mp3,36:11,AP,,https://www.abhayagiri.org/media/audio/AP_04_21_2013_UD2_Right_Livelihood.mp3,8,,,,,2171,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,AListen?,Exclude?,FTags,FTagOrder
1,Reading,s,2:22,8:11,Buddhist Economics p. 19; Buddhist Economics p. 36.,,Commerce/economics,Requisites,,,,,,,,,,,,
1,,,12:48,,Lottery numbers?...Is the problem that the monks have the right numbers so everyone flocks to them?,,Monastic life,Psychic powers,,,,,,,,,,,,
1,,,13:47,,Could you talk more about the particular professions that the Buddha laid out as wrong livelihood (AN 5.177)? Why is being in the military not on the list?,,Work,Military,,,Unskillful qualities,Kamma,Killing,Intoxicants,Rebirth,,,,Right Livelihood,100
1,Story,,,,The widow of a wealthy man divests from Singha Beer.,,Right Livelihood,Intoxicants,Commerce/economics,,,,,,,,,,,
1,,,19:55,,Is growing grapes right livelihood?,,Intoxicants,Commerce/economics,,,,,,,,,,,,
1,Story,,,,The son of a winemaking family lives on the land but doesn't participate in wine production.,,Right Livelihood,Intoxicants,Commerce/economics,Family,,,,,,,,,,
1,,,22:13,,Can you speak about the people who sell these things [intoxicants] versus those who make them?,,Intoxicants,Commerce/economics,,,Kamma,Volition,,,,,,,,
1,Story,,,,A clerk at an organic food store asks about selling wine.,AKd,Right Livelihood,Intoxicants,Commerce/economics,,,,,,,,,,,
1,,,25:52,,"If the person selling the product enjoys selling it and the person buying it enjoys the product, what is the unpleasant consequence?",,Commerce/economics,Sensual desire,Kamma,,Unskillful qualities,Intoxicants,Crime,Heedlessness,,,,,,
1,,,28:16,29:14,What about people whose livelihood falls into one of these categories [AN 5.177] but they are convinced that it's good for the world or that it had to be done?,,Volition,,,,Delusion,,,,,,,,,
1,Comment,,29:16,,about the nuances involved in the activities comprising wrong livelihood.,,Intoxicants,,,,,,,,,,,,,
1,Response,,,,,,Unskillful qualities,Community,,,,,,,,,,,,
1,,,31:25,32:34,Is caffeine an intoxicant?,,Intoxicants,,,,Medicinal requisites,,,,,,,,,
1,Comment,s,32:38,,about meat eating.,,Food,Killing,Craving,Vegetarianism,,,,,,,,,,
1,Response,,,,,,Volition,Human,,,,,,,,,,,,
1,Indirect quote,,35:31,,Different people will be comfortable at different degrees of contentment and ability to live simply.|P. A. Payutto,,P. A. Payutto,Personality,Contentment,Simplicity,,,,,,,,,,
1,Extra tags,,,,,,Happiness,,,,,,,,,,,,,
1,,,36:09,38:24,The Buddha taught the five forms of wrong livelihood [AN 5.177]. This is from the producer side. Is there a similar teaching from the consumer side?,,Commerce/economics,,,,Idealism,Politics and society,Buddha/Biography,Skillful qualities,,,,,Commerce/economics,100
1,,,38:30,,What is the view on medical or pharmaceutical professions?,,Health care,Medicinal requisites,,,,,,,,,,,,
