Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Chanting,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2018-2,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AKd;ANy,,,,,,,,,,,,,,,,,,
Start date,02/06/2018,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Chanting,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/111-chanting,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,30,,,,,,,,,,,,,,,,,,
Tags applied,99,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,3:11:25,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,02/06/2018,2018-06-02 Upasika day Chanting (Part 1 of 3).mp3,55:40,AP,Purposes and Practices,https://www.abhayagiri.org/media/audio/youtube/6XG1rj77ZfA.mp3,13,Chanting,,,,3340,,,,,,,
2,02/06/2018,2018-06-02 Upasika day Chanting (Part 2 of 3).mp3,57:45,AKd;AP,Pronunciation and Rythym,https://www.abhayagiri.org/media/audio/youtube/XQkvbPrm3Ds.mp3,9,Chanting,Pāli,,,3465,,,,,,,
3,02/06/2018,2018-06-02 Upasika day Chanting (Part 3 of 3).mp3,1:18:00,ANy;AP,History and Meaning,https://www.abhayagiri.org/media/audio/youtube/slulNj3HzTg.mp3,8,Chanting,Protective chants,,,4680,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Recollection,,2:30,3:43,Ajahn Mun chants for an hour before meditating.,,Ajahn Mun,Meditation,Devotional practice,,,,,,,,,,
1,Story,,6:55,8:26,The Buddha asks a monk to recite the [Aṭṭhakavagga (Snp Chapter 4)](https://suttacentral.net/snp-atthakavagga) (Ud 5.6).,,Buddha/Biography,Monastic life,Sutta,,,,,,,,,,
1,Story,,11:16,12:53,of an Indian Brahman novice at Tisarana Monastery who is adept at chanting.,,Culture/India,Tisarana,,,,,,,,,,,
1,Story,,13:12,15:18,Learning the Paṭimokkha.,,Pāṭimokkha,Ajahn Pasanno,,,Ajahn Chah,Culture/India,,,,,,,
1,Response,s,,,,ANy;AKd;AKc,Pāṭimokkha,Chanting,,,,,,,,,,,
1,Story,,19:38,22:08,Ajahn Pasanno's mother notices that he chants in tune.,,Ajahn Pasanno,Family,,,Almsfood,Mindfulness,,,,,,,
1,Story,,22:54,27:26,An elderly Sri Lankan monk chants to calm a wild elephant.,,History/Sri Lankan Buddhism,Animal,Three Refuges,,,,,,,,,,
1,Story,,,,Chanting 'Itipi so' 108 times.,,Chanting,Abhayagiri,Anandagiri,,,,,,,,,,
1,Story,,40:01,41:52,Chanting sustains a long-time disciple of Ajahn Chah living as a businessman in Bangkok.,,Ajahn Chah,Lay life,Culture/Thailand,,Suffering,,,,,,,,
1,,,42:37,48:19,Can we approach chanting as praying for someone in a difficult situation?,,Prayer,Christianity,Family,Health,Skillful qualities,Compassion,Right Intention,Merit,Abhayagiri,,,,
1,Extra tags,,,,,,,,,,Nature of the cosmos,,,,,,,,
1,,,48:20,49:42,How can you use chanting to work with long-term physical pain and other people's healing?,,Pain,Health,,,Tranquility,Concentration,Fear,Release,,,,Pain,90
1,Extra tags,,,,,,,,,,,,,,,,,Chanting,90
1,,,49:47,,Are there any chants that are inappropriate for laypeople to chant?,,Lay life,,,,,,,,,,,,
1,,,50:15,52:05,How can you chant to generate energy?,,Energy,,,,Postures,Mindfulness of breathing,,,,,,,
1,,,52:10,52:41,Is there any danger to chanting?,,,,,,,,,,,,,,
1,,,52:42,54:54,"The fourth precept used to be translated as false and harmful speech. In the new chanting book, it's just lying. Is there a reason for this?",,False speech,Pāli,,,Right Speech,,,,,,,,
1,Reference,,,,Chanting Book p. 130,,False speech,,,,,,,,,,,,
1,Sutta,,,,MN 41: Saleyyaka Sutta,,,,,,,,,,,,,,
2,,,26:13,29:12,Sometimes there's no pause between the words we're chanting. Why?,AP,History/Early Buddhism,,,,,,,,,,,,
2,Reference,,,,Chanting Book p. 129: Five Precepts.,,,,,,,,,,,,,,
2,,,29:14,,"Are the dots under m and n [ṃ, ṇ] that inscrutable non-English sound that was mentioned earlier?",AP;AKd,,,,,,,,,,,,,
2,Follow-up,,,,And that has nothing to do with the pitch going down? That's the carat mark?,,History/Western Buddhist monasticism,,,,,,,,,,,,
2,Comment,,31:32,,It seems like we stretch out 'saha' in the request for the Five Precepts (Chanting Book p. 126).,,,,,,,,,,,,,,
2,Response,,,,,AP,,,,,,,,,,,,,
2,,,32:05,34:12,Can you explain the rythym and scanning of the seventh of the Eight Precepts (Chanting Book p. 135)?,AP;AKd,Eight Precepts,Entertainment and adornment,,,,,,,,,,,
2,Comment,,34:14,35:58,I also get tripped up chanting the fifth precept (Chanting Book p. 130).,,Five Precepts,Intoxicants,,,,,,,,,,,
2,Response,,,,,AP;ANy,Thai,,,,,,,,,,,,
2,Story,,43:09,44:18,"Ajahn Pasanno spends Vassa on the Burmese border, but can't chant smoothly with two monks of different nationalities.",,Ajahn Pasanno,Rains retreat,,,,,,,,,,,
2,Comment,,49:37,50:04,We usually chant like that [a simple style] in primary school. It changes when we get to high school.,,Culture/Thailand,,,,,,,,,,,,
2,Response,,,,,AP,,,,,,,,,,,,,
2,,,51:33,52:53,Do you have any suggestions for audio support for chanting?,AP,Dhamma online,,,,,,,,,,,,
2,Reference,,,,[Abhayagiri Chanting Karaoke](https://www.abhayagiri.org/media/chanting/index.html),,Chanting,Dhamma online,,,,,,,,,,,
