Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Developing Skill in Reflective Meditation,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2019-5,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AKd;ANy,,,,,,,,,,,,,,,,,,
Start date,01/12/2019,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Recollection;Meditation,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/126-developing-skill-in-reflective-meditation-upasika-day-2019,,,,,,,,,,,,,,,,,,
Description,"Luang Por Pasanno, Ajahn Karunadhammo and Ajahn Nyaniko lead an exploration of the Buddha’s teachings on bringing a specific theme into the mind for reflection during meditation, including choosing and developing fruitful themes and the benefits of this skill.",,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,20,,,,,,,,,,,,,,,,,,
Tags applied,148,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,3:01:47,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,01/12/2019,2019-12-01 Developing Skill in Reflective Meditation (Pt 1).mp3,1:32:39,AP;AKd,,https://www.abhayagiri.org/media/audio/youtube/QNA6hjxqs2M.mp3,10,Recollection,,,,5559,,,,,,,
2,01/12/2019,2019-12-01 Developing Skill in Reflective Meditation (Pt 2).mp3,1:29:08,ANy;AP,,https://www.abhayagiri.org/media/audio/youtube/Ge0ebQsyhZU.mp3,10,Recollection,,,,5348,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
