Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Living in a Changing Society,,,,,,,,,,,,,,,,,,
Subtitle,"Dealing with Fear, Stress, and Worry and Cultivating Kindness, Patient Endurance, and Harmony",,,,,,,,,,,,,,,,,,
Code,UD2020,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;ANy,,,,,,,,,,,,,,,,,,
Start date,23/08/2020,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,Politics and society,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/130-changing-society-dealing-with-fear-stress-and-worry-and-cultivating-kindness-patient-endurance-and-harmony-upasika-day-2020,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,13,,,,,,,,,,,,,,,,,,
Tags applied,86,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,4:01:35,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,23/08/2020,2020-08-23 Online Upasika Day.mp3,4:01:35,AP;ANy,,https://www.abhayagiri.org/media/audio/youtube/OenO6iL0nJs.mp3,13,,,,,14495,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,2:20:35,2:27:55,Ajahn Chah was ill for the last ten years of his life. How could he endure that and why did this take place?,AP,Ajahn Chah,Sickness,,,Perfections,Teaching Dhamma,Saṅgha,Death,Monastic teachers,,,,
0,Extra tags,,,,,,,,,,Wat Pah Nanachat,Upatakh,Generosity,,,,,,
0,,,2:28:10,2:34:48,I lead two Zoom sessions a week and am running out of material. Can you suggest guided meditations from this tradition?,AP,Teaching Dhamma,,,,Trust,Dhamma books,Amaravati,Self-reliance,,,,,
0,,,2:35:14,2:36:19,"If you get the mind empty, you get everything.' How to understand this?",AP,Emptiness,,,,Self-identity view,,,,,,,,
0,,,2:36:31,2:43:02,How to overcome rejection by your spouse and move on and not hang on to the hope that he will come back some day?,ANy,Relationships,Family,,,Self-reliance,Goodwill,,,,,,,
0,,,2:43:14,2:47:29,How can we recognize and know the present moment more clearly?,ANy,Present moment awareness,,,,Mae Chee Kaew,Relinquishment,Kamma,,,,,,
0,,,2:47:40,2:55:30,"Is there something called fierce compassion in the Theravāda tradition? If so, how is that different from resentment or anger?",AP,Fierce/direct teaching,Compassion,Theravāda,Ill-will,Ajahn Mahā Boowa,Suffering,Teaching Dhamma,Admonishment/feedback,Spiritual bypass,,,,
0,Extra tags,,,,,,Aversion,,,,Ajahn Chah,,,,,,,,
0,Story,,,,Ajahn Chah calls newly-arrived Tan Pasanno lazy.,,Ajahn Chah,Ajahn Pasanno,Chanting,Fierce/direct teaching,,,,,,,,,
0,,,3:10:16,3:15:14,Why is turning the left side of your body to the Buddha disrespectful? How does one disregard another person in a skillful way to remove resentment? (AN 5.161),ANy,Respect,Ill-will,,,Goodwill,Culture/India,Culture/Thailand,Theravāda,,,,,
0,,,3:15:46,3:19:02,How is it possible to not eat after noon while remaining active in everyday life?,AP,Eating after noon,Renunciant practice,,,Fear,Food,Health,,,,,,
0,,,3:19:09,3:25:10,How do we overcome unpleasant mental or physical feelings in the present moment?,AP,Feeling,Present moment awareness,,,Aversion,Fear,Suffering,Goodwill,Ajahn Sumedho,,,,
0,Sutta,,,,DN 22: Mahāsatipaṭṭhāna Sutta,,Mindfulness of feeling,,,,,,,,,,,,
0,Comment,,3:25:46,3:30:10,"I had a stroke 3 1/2 months ago, and the health professionals say I can't do this or that. I find this frustrating.",,Sickness,Health,Aversion,,,,,,,,,,
0,Response,,,,,ANy,Dhamma,Recollection/Dhamma,Recollection,,,,,,,,,,
0,Comment,,3:30:13,3:31:30,I meditate much better kneeling than lying in bed.,,Posture/Sitting,Posture/Lying down,,,,,,,,,,,
0,Response,,,,,ANy,Ajahn Viradhammo,,,,,,,,,,,,
0,,,3:31:42,3:40:11,"What is the difference between emptiness, nothingness, and space? How can I use colors to develop the mind?",AP,Emptiness,Kasiṇa,,,Self-identity view,Relinquishment,Conceit,Middle Path,Etymology,,,,
0,Extra tags,,,,,,,,,,Not-self,Elements,Tranquility,History/Early Buddhism,Culture/West,,,,
0,,,3:40:14,3:42:54,How to balance the practice of removing attachments but maintain responsibilities of caregiving to children or ageing parents?,ANy,Clinging,Relinquishment,Family,Parents,Gratitude,,,,,,,,
0,Extra tags,,,,,,Ageing,,,,,,,,,,,,
