Modified:,2025,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Summary,,Session,,"On the first day of the three-month retreat, Ajahn Pasanno gives detailed instructions on posture, attending to the breath, arousing energy, and investigating the meaning of mindfulness.",,,,,,,,,,,,,,
1,Meditation instruction,0,4:55,9:34,Balancing the body: detailed instructions on sitting posture.,,Posture/Sitting,,,,,,,,,,,Posture/Sitting,120
1,Reflection,,35:20,37:09,The meaning of Buddho.,,Buddho mantra,Clear comprehension,Mindfulness,,,,,,,,,,
1,Meditation instruction,0,38:22,,Walking meditation instructions.,,Posture/Walking,,,,,,,,,,,,
2,Summary,,Session,,"Reflecting on the third and fourth steps of the Ānāpānasati Sutta (MN 118), Ajahn Pasanno describes entering into the bodily sensations of the breath (kāyasaṅkhārā) as a foundation of training that prepares the mind to receive Dhamma.",,,,,,,,,,,,,,
2,Reference,,,,"[Breath in Mind](), particularly ""[Method Two](Breath in Mind p. 15)"".",,,,,,,,,,,,,,
2,Teaching,,0:00,4:57,Reviewing our meditation habits and the purpose of meditation.,,Meditation,Discernment,,,Equanimity,Knowledge and vision,Liberation,,,Yes,,,
2,Quote,,27:53,30:51,"With each in-breath and each out-breath, really trying to recollect that we have the opportunity to experience the Dhamma, to experience truth, to realize the fruits of the Buddha's teaching and guidance leading to liberation.",,Recollection/Dhamma,Liberation,,,Thai,Gratitude,,,,,,Recollection/Dhamma,170T
3,Summary,,Session,,"Reflecting on the second tetrad of the Ānāpānasati Sutta (MN 118), Ajahn Pasanno describes meditation as relaxing so that awareness comes to the fore and explains the importance of perception in relating to painful, pleasant, and neutral feeling.",,,,,,,,,,,,,,
3,Reference,,,,"[Breath in Mind](), particularly ""[Method Two](Breath in Mind p. 15)"".",,,,,,,,,,,,,,
