Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Western Disciples of the Thai Forest Tradition,,,,,,,,,,,,,,,,,,
Subtitle,Abhayagiri Winter Retreat 2016,,,,,,,,,,,,,,,,,,
Code,WR2016,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Winter Retreats,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AbhSangha,,,,,,,,,,,,,,,,,,
Start date,05/01/2016,,,,,,,,,,,,,,,,,,
End date,29/03/2016,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Thai Forest Tradition;Western Ajahn Chah lineage,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/winter-retreat-2016/index.html,,,,,,,,,,,,,,,,,,
Description,"During the Winter Retreat 2016 teaching sessions, Abhayagiri monastics took turns reading from senior Western disciples of the Thai Forest Tradition. Ajahn Pasanno and other teachers responded to questions after the readings.",,,,,,,,,,,,,,,,,,
Sessions,57,,,,,,,,,,,,,,,,,,
Excerpts,5,,,,,,,,,,,,,,,,,,
Tags applied,686,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,58:38,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,05/01/2016,2016-01-05 AKd Reading Apannaka Dhammas by Ajahn Pasanno.mp3,7:27,,Apaṇṇaka Dhammas,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-05%20AKd%20Reading%20Apannaka%20Dhammas%20by%20Ajahn%20Pasanno.mp3,2,,,,Yes,447,,,,,,,
2,06/01/2016,2016-01-06 AJ Reading Walking Meditation by Ajahn Nanadhammo.mp3,22:36,,Walking Meditation,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-06%20AJ%20Reading%20Walking%20Meditation%20by%20Ajahn%20Nanadhammo.mp3,1,,,,,1356,,,,,,,
