Modified:,2025,,,,,,,,,,,
Key,Value,,,,,,,,,,,
Title,Readings from <i>The Island</i>,,,,,,,,,,,
Subtitle,Winter Retreat 2025 at Amaravati,,,,,,,,,,,
Code,WR2025,,,,,,,,,,,
Series,Winter Retreats,,,,,,,,,,,
Venue,Amaravati Buddhist Monastery,,,,,,,,,,,
Teachers,AP;AA,,,,,,,,,,,
Start date,05/01/2025,,,,,,,,,,,
End date,07/02/2025,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,Nibbāna,,,,,,,,,,,
Website,https://amaravati.org/dhamma-audio-library/?wpv-category=audio&wpv-fpmtp_series=the-island-2025&wpv_aux_current_post_id=29850&wpv_aux_parent_post_id=29850&wpv_view_count=29392,,,,,,,,,,,
Description,"Ajahn Pasanno stayed at Amaravati Monastery during much of 2025 to assist during Ajahn Amaro's sabbatical year. Before the sabbatical began, they took turns reading from [_The Island_](The Island p. 1), which they co-authored in 2009. ",,,,,,,,,,,
Sessions,47,,,,,,,,,,,
Excerpts,0,,,,,,,,,,,
Tags applied,1084,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,36:38:44,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds
1,05/01/2025,01_-_Introduction_by_Ajahn_Sumedho.mp3,58:45,AA,Introduction by Ajahn Sumedho,https://cdn.amaravati.org/wp-content/uploads/2025/03/09/01_-_Introduction_by_Ajahn_Sumedho.mp3,,,,,,3525
2,08/01/2025,02_-_Introduction_part_2_and_Chapter_1_-_What_is_it_part_1.mp3,54:42,AA,What Is It? – Part 1,https://cdn.amaravati.org/wp-content/uploads/2025/03/09/02_-_Introduction_part_2_and_Chapter_1_-_What_is_it_part_1.mp3,,,,,,3282
3,09/01/2025,03_-_Chapter_1_-_What_is_it_part_2.mp3,56:21,AA,What Is It? – Part 2,https://cdn.amaravati.org/wp-content/uploads/2025/03/09/03_-_Chapter_1_-_What_is_it_part_2.mp3,,,,,,3381
4,12/01/2025,04_-_Chapter_1_-_What_is_it_part_3.mp3,53:33,AA,What Is It? – Part 3,https://cdn.amaravati.org/wp-content/uploads/2025/03/09/04_-_Chapter_1_-_What_is_it_part_3.mp3,,,,,,3213
