


Year|Devotion/Ritual|Sutta Study|Meditation|Global/Social Context|Daily Life Practice
--|--|--|--|--|--
2006|Kathina Festival {: .dimmed}|Dhammapada/Right Speech {: .dimmed}||Work Day at ABM {: .dimmed}|
2007|Three Refuges/Our Lineage {: .dimmed}|Nibbana {: .dimmed}|Metta {: .dimmed}|Peace & Conflict {: .dimmed}|Precepts {: .dimmed}
2008|Chanting {: .dimmed}|Four Heavenly Messengers {: .dimmed}|“Other” Brahmaviharas {: .dimmed}|Advice to Political Leaders {: .dimmed}|Generosity {: .dimmed}
2009|Buddhist Calendar {: .dimmed}|Dependent Origination {: .dimmed}|“Jump Starting” Your Meditation Practice {: .dimmed}|<b>[Buddhism as an Education System](https://www.abhayagiri.org/talks/collections/8/71-buddhism-as-an-education-system-upasika-day-2009) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Jayasaro|Compassion: Death & Dying {: .dimmed}
2010|Ajahn Chai/Thai Forest Tradition {: .dimmed}|Therigatha & Theragatha {: .dimmed}|Asubha Practice {: .dimmed}|Forgiveness & Reconciliation {: .dimmed}|Relating to Nonspiritual Family/Friends {: .dimmed}
"2011|Elements of Puja (shrines, offerings, etc.) {: .dimmed}|Three Cardinal Suttas {: .dimmed}|Standing, Walking, Lying Down Meditation {: .dimmed}|Fourfold Sangha Engaged in the Community {: .dimmed}|Applying the Four Noble Truths {: .dimmed}"
"2012|<b>[The Buddha](https://www.abhayagiri.org/talks/collections/8/69-the-buddha-upasika-day-2012) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Yatiko|<b>[The Gradual Training](event:UD2012-4)</b><br>&nbsp;&nbsp;AP, AY|<b>[Brightening the Mind](event:UD2012-3)</b><br>&nbsp;&nbsp;AP, AY, AKd|Relating to the Natural Environment {: .dimmed}|Four Right Efforts {: .dimmed}"
"2013|<b>[A Monastic’s Life](https://www.abhayagiri.org/talks/6019-the-relevance-of-monastic-training) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;AP, AY|<b>[Mangala Sutta](https://www.abhayagiri.org/talks/collections/8/65-mangala-sutta-upasika-day-2013) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Karuṇadhammo|<b>[Calming the Busy Mind](event:UD2013-3)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Right Livelihood](event:UD2013-1)</b><br>&nbsp;&nbsp;AP, AY, AKd|Right Speech: Sarcasm, Joking, Idle Chatter {: .dimmed}"
"2014|<b>[Thai Forest Tradition](event:UD2014-2)</b><br>&nbsp;&nbsp;AP, AKd|Taking the Suttas to Heart {: .dimmed}|<b>[Mindfulness of Breathing](event:UD2014-3)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Death and Dying](event:UD2014-1)</b><br>&nbsp;&nbsp;AP, AY, DS, JD|<b>[Personality View in Daily Life](https://www.abhayagiri.org/talks/collections/8/61-personality-view-in-daily-life-upasika-day-2014) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Karuṇadhammo"
"2015|<b>[On Pilgrimage and Tudong](event:UD2015-1)</b><br>&nbsp;&nbsp;AP, AKd, AÑ|<b>[The Middle Way of Not-Self](event:UD2015-2)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Jhāna: A Practical Approach](event:UD2015-4)</b><br>&nbsp;&nbsp;AP, AKd|<b>[Buddhist Identity in the Modern World](event:UD2015-3)</b><br>&nbsp;&nbsp;AP, AKd|The World of the Six Senses: Gratification, Danger, and Escape {: .dimmed}"
"2016|<b>[The Art of Being Human](https://www.youtube.com/watch?v=onlshJhImrM) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Jotipālo|<b>[Suttas You've Never Heard Of](event:UD2016-2)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Meditation on Ten Perceptions](event:UD2016-3)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Right Speech and Living With Ourselves](https://www.youtube.com/watch?v=vs6A1aniHbc) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;AP,  AJ|Using the Buddha’s Life in Daily Practice {: .dimmed}"
"2017|<b>[Devotion and Ritual: Becoming the Buddha](event:UD2017-1)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Two Kinds of Thought and the Removal of Distracting Thoughts](event:UD2017-2)</b><br>&nbsp;&nbsp;AP, AKd|<b>[Can We Function without Attachment?](event:UD2017-4)</b><br>&nbsp;&nbsp;Ajahn Pasanno|<b>[Practice in a Global Context: Being a Good Citizen](event:UD2017-3)</b><br>&nbsp;&nbsp;AP, AKd|<b>[Working with High-Dose Dukkha](https://www.abhayagiri.org/talks/collections/8/72-working-with-high-dose-dukkha-upasika-day-2017) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Karuṇadhammo"
"2018|<b>[Chanting](event:UD2018-2)</b><br>&nbsp;&nbsp;AP, AKd, AÑ|<b>[Crossing the Floods](https://www.abhayagiri.org/talks/collections/8/113-crossing-the-floods-sayutta-nikaya-11) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Karuṇadhammo|<b>[Not-self as a Contemplative Strategy](https://www.abhayagiri.org/talks/collections/8/117-meditation-not-self-as-a-contemplative-strategy-upasika-day-2018) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;AKd, AÑ|<b>[Remembering the 2017 Fires](https://www.abhayagiri.org/talks/collections/8/116-remembering-the-2017-fires-dhamma-perspectives-and-tools-for-healing) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;AKc, APes|<b>[The New Ajahn Chah Biography](event:UD2018-1)</b><br>&nbsp;&nbsp;Ajahn Pasanno"
"2019|<b>[Refuge, Precepts, and Faith](https://www.abhayagiri.org/talks/7178-refuge-precepts-and-faith-1-of-2) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Ñāṇiko|<b>[Establishing Mindfulness](https://www.abhayagiri.org/talks/collections/8/123-establishing-mindfulness-upasika-day-2019) ![External link](../images/icons/Link-external-small-ltr-progressive.svg)</b><br>&nbsp;&nbsp;Ajahn Karuṇadhammo|<b>[Developing Skill in Reflective Meditation](event:UD2019-5)</b><br>&nbsp;&nbsp;AP, AKd, AÑ|Praise, Criticism, and Diplomatic Speech {: .dimmed}|<b>[Love, Attachment, and Friendship](event:UD2019-4)</b><br>&nbsp;&nbsp;AP, AKd, AÑ"
