fTagOrder	excerpt	duration	kind	text
50	SRD2011_S02_F11	4:50	Question	I'm curious about your pre-monastic life and specifically what led ...
110	Madison2023_S03_F04	15:36	Question	Would you be willing to share memories of Ajahn Chah?
120	Podcast2023_S00_F08	4:53	Question	How did you come to be abbot of Wat Pah Nanachat?
130	Podcast2023_S00_F12	7:14	Question	How did you come to join Ajahn Amaro as co-abbot of the newly estab...
140	Podcast2023_S00_F17	2:22	Question	In 2018 you stepped away from the role of abbot of Abhayagiri, pass...
170	TG2015_S07_F10	2:02	Question	After forty years of meditating, what do you still find that is int...
200	Rishikesh2023_S01_F05	0:43	Question	What makes you keep on moving?

7 featured excerpts; 4-6 optimal.

Subtopic tags:
Ajahn Pasanno
