fTagOrder	excerpt	duration	kind	text
50	TG2015_S07_F07	2:02	Question	Why is the Buddha referred to in the present tense in the chants? I...
90	Chithurst2025-2_S01_F12	1:05	Reflection	The qualities of the Buddha: wisdom, compassion, purity.
100	UD2017-1_S01_F08	2:21	Reflection	In Theravāda culture, the Buddha is always a human being.
110	TG2015_S08_F23	1:24	Question	Can you recommend a reflection or phrase to use immediately upon aw...
160	Anniversary2021_S06_F13	2:08	Indirect quote	If you really want to pay homage to me, do the practice.|The Buddha
200t	WR2013_S10_F01	13:29	Question	Could you give advice on how to practice Buddhānussati? Are there a...
300	DRBU2014_S00_F16	8:51	Question	How do we take refuge in awareness (Buddho) in daily life?

6 featured excerpts; 3-6 optimal.

Subtopic tags:
Buddha
Recollection/Buddha
Buddho mantra
