fTagOrder	excerpt	duration	kind	text
80	TG2011_S06_F19	1:52	Question	What did the Buddha say about giving all your assets away?
100	UD2013-1_S01_F12	2:15	Question	The Buddha taught the five forms of wrong livelihood [AN 5.177]. Th...
120	UD2013-1_S01_F26	3:09	Question	In DN 31.26, what is investment versus savings?
140	UD2013-1_S01_F25	2:46	Question	There are many people without access to resources for education or ...
180T	Path2019_S01_F13	8:39	Question	Could you say something about the fact that extreme hardship exists...

4 featured excerpts; 3-4 optimal.

Subtopic tags:
Commerce/economics
Poverty
