fTagOrder	excerpt	duration	kind	text
100	TG2014_S07_F06	5:51	Question	How is compassion (karuṇā) is different from loving-kindness (mettā...
130	WR2018-2_S08_F11	3:24	Question	When is it skillful to try to help people who are suffering?
150	UD2017-4_S04_F08	4:46	Question	How does renunciation reinforce compassion?
170P	Chithurst2025-2_S01_F11	6:50	Question	How do we recognize when we're being taken advantage of when we're ...
180P	SRD2015_S01_F10	5:42	Question	Any advice for cures for burnout? I'm in a helping profession and f...

5 featured excerpts; 3-5 optimal.

Subtopic tags:
Compassion
