fTagOrder	excerpt	duration	kind	text
70	Chah2001_S02_F05	0:46	Teaching	Maintain mindfulness throughout the day and night.
80	WR2014_S31_F10	0:56	Comment	So the ability to hold the meditation object, go through your daily...
95	TG2016_S04_F05	3:46	Question	I was struck by the suggestion you shared about orienting oneself t...
100	TG2015_S03_F04	5:24	Question	I am doing well when sitting or walking – my container of mindfulne...
180	WR2014_S41_F06	7:30	Question	Ajahn Chah and other Thai Ajahns emphasize this quality of steady p...

5 featured excerpts; 3-5 optimal.

Subtopic tags:
Continuity of mindfulness
Present moment awareness
