fTagOrder	excerpt	duration	kind	text
100	TG2014_S05_F14	0:59	Question	I once heard a Tibetan teacher say 'the Dharma is one.' Can the Dha...
120	TG2015_S05_F03	1:45	Indirect quote	Dhamma is not about the words, about the concepts, about the ideas....
150	UD2019-5_S02_F01	1:24	Indirect quote	If you want to succeed in your practice, you have to think a lot......
170T	WR2005-1_S02_F02	2:58	Quote	With each in-breath and each out-breath, really trying to recollect...
200	UD2021-1_S00_F06	6:26	Question	In your guided meditation, devotion to the teachings really touched...

4 featured excerpts; 3-5 optimal.

Subtopic tags:
Dhamma
Recollection/Dhamma
