fTagOrder	excerpt	duration	kind	text
100	TG2011_S02_F08	2:51	Question	Sometimes I experience what one of my teachers has called a multipl...
110	Chah2001_S32_F05	1:20	Indirect quote	If I've developed any wisdom, it's because I had such gigantic defi...
150	TG2010_S07_F15	2:51	Question	Would you contrast the samatha transformation of the Five Hindrance...
160	TG2004_S13_F05	3:32	Reflection	The hindrances come into play as a remedy for a situation that is a...
180	TG2015_S04_F14	5:27	Question	What is the difference between a fetter and a hindrance?

5 featured excerpts; 3-5 optimal.

Subtopic tags:
Hindrances
