fTagOrder	excerpt	duration	kind	text
70	TG2013_S08_F04	4:15	Question	Would you talk about (describe) how to relax into 'whole-body breat...
90	TG2015_S03_F09	2:45	Question	How does one avoid controlling the breath when observing it?
100	TG2014_S03_F10	4:01	Question	How do you use mindfulness of breathing when are doing a recollecti...
120	UD2014-3_S02_F07	1:31	Question	How often do you employ mindfulness of breathing in daily life? How...
150	PSD2023_S02_F02	9:21	Question	Can you speak more about the progression of mindfulness of breathin...
200	UD2014-3_S01_F03	2:51	Question	I have a hard time breathing normally due to congestion and asthma....
300	UD2014-3_S01_F02	4:04	Question	I've had the experience on retreat of getting to slow, shallow brea...

7 featured excerpts; 4-6 optimal.

Subtopic tags:
Mindfulness of breathing
